Page score,Page trust score,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
27,29,Dataeasy — Gestão de Conteúdo Empresarial Além do Papel,http://www.dataeasy.com.br/,http://dataeasy.acelerato.com/,Suporte,15,14,false,true,false,false,false,true,2016-12-01,2017-12-02,false,false
11,13,,http://www.acelerato.com.br/,https://www.acelerato.com/,,0,0,false,true,false,false,false,false,2017-06-13,2017-11-28,false,false
11,13,Desafios do atendimento personalizado - Notícias - Negócios - Administradores.com,http://www.administradores.com.br/noticias/negocios/desafio-do-atendimento-personalizado/106582/,http://blog.acelerato.com/help-desk/dicas-para-um-excelente-atendimento-por-telefone-no-seu-help-desk,telefone,29,130,false,true,false,false,false,false,2016-11-23,2017-11-27,false,false
11,13,Desafios do atendimento personalizado - Notícias - Negócios - Administradores.com,http://www.administradores.com.br/noticias/negocios/desafio-do-atendimento-personalizado/106582/,http://blog.acelerato.com/help-desk/3-passos-para-inovar-no-atendimento-ao-cliente,atendimento ao cliente,29,130,false,true,false,false,false,false,2016-11-23,2017-11-27,false,false
11,13,Desafios do atendimento personalizado - Notícias - Negócios - Administradores.com,http://www.administradores.com.br/noticias/negocios/desafio-do-atendimento-personalizado/106582/,http://blog.acelerato.com/gestao/a-importancia-do-marketing-para-as-empresas,propaganda,29,130,false,true,false,false,false,false,2016-11-23,2017-11-27,false,false
11,13,Desafios do atendimento personalizado - Notícias - Negócios - Administradores.com,http://www.administradores.com.br/noticias/negocios/desafio-do-atendimento-personalizado/106582/,http://blog.acelerato.com/gestao/em-tempos-de-crise-como-crescer/,tempos de crise,29,130,false,true,false,false,false,false,2016-11-23,2017-11-27,false,false
11,13,Desafios do atendimento personalizado - Notícias - Negócios - Administradores.com,http://www.administradores.com.br/noticias/negocios/desafio-do-atendimento-personalizado/106582/,http://www.acelerato.com/,Acelerato,29,130,false,true,false,false,false,false,2016-11-23,2017-11-27,false,false
10,10,Atendimento ao cliente com número 0800 • Atende Simples,http://atendesimples.com/,http://www.acelerato.com/,logo acelerato,18,19,false,true,false,false,false,false,2016-09-29,2017-12-07,false,false
10,11,Blog Bluesoft ERP - Blog de novidades e atualizações do Bluesoft ERP,http://blog.bluesofterp.com.br/,https://www.acelerato.com/atendimento/help-desk/,"Acelerato: Gestão de chamados rápido e fácil, acesse e experimente gratuitamente.",70,0,false,true,false,false,false,false,2017-06-25,2017-12-07,false,false
10,11,Blog Bluesoft ERP - Blog de novidades e atualizações do Bluesoft ERP,http://blog.bluesofterp.com.br/,http://www.acelerato.com/,,70,0,false,false,false,false,true,false,2017-06-25,2017-12-07,false,false
9,10,Portal da Agencia o Globo Dino,http://www.agenciaoglobo.com.br/dinonews/Default.aspx?idnot=4464&tit=10%20Maneiras%20de%20um%20Sistema%20de%20Help%20Desk%20ajudar%20voc%C3%AA%21,http://www.acelerato.com/,http://www.acelerato.com,6,45,false,true,false,false,false,false,2017-01-21,2017-10-05,false,false
9,0,M&O Sistemas - Soluções para maior competitividade - 20 Anos,https://mosistemas.com/,https://mosistemas.acelerato.com/,SUPORTE,1,36,false,true,false,false,false,false,2017-07-10,2017-11-08,false,false
