Domain score,Domain trust score,Domain,Backlinks,IP Address,Country,First seen,Last seen
13,29,bluesoft.com.br,3229,177.71.199.1,br,2016-12-07,2017-12-08
20,30,vidadesuporte.com.br,248,104.18.39.245,us,2016-12-30,2017-12-07
1,0,clickset.com.br,54,187.17.111.100,br,2017-01-20,2017-12-03
11,0,agenciarizzo.com.br,33,189.113.168.80,br,2017-11-19,2017-11-24
1,0,rkmael.com,27,192.30.252.154,us,2017-02-23,2017-11-29
18,19,lumiun.com,19,169.57.153.162,br,2017-01-26,2017-12-08
9,8,seekport.com,18,136.243.45.145,de,2017-06-24,2017-11-28
1,0,bluesofterp.com.br,14,52.73.40.43,us,2017-06-25,2017-12-07
0,0,similarto.us,14,104.28.26.107,us,2017-07-24,2017-12-03
10,2,mosistemas.com,12,54.94.167.56,br,2017-06-19,2017-11-19
0,0,bizrevolutionblog.typepad.com,11,104.16.105.123,us,2017-09-19,2017-09-30
37,44,player.fm,11,45.79.156.166,us,2017-10-21,2017-11-27
1,0,ipcom.com.br,9,186.237.56.51,br,2017-06-30,2017-11-20
18,30,vidadeprogramador.com.br,9,104.28.26.36,us,2017-04-10,2017-12-01
50,55,mail-archive.com,8,72.52.77.8,us,2017-10-07,2017-11-23
1,0,david-ribeiro.com,7,144.217.74.218,ca,2017-09-27,2017-11-29
36,42,administradores.com.br,6,187.191.99.104,br,2016-11-23,2017-11-27
13,28,go2tutor.com,5,59.188.24.203,hk,2017-11-18,2017-12-05
2,0,brascloud.com.br,5,54.233.206.140,br,2017-07-16,2017-12-04
68,71,bing.com,4,204.79.197.200,us,2017-06-11,2017-11-12
39,47,baixaki.com.br,4,104.20.16.65,us,2017-05-24,2017-10-27
7,5,list-of-domains.org,4,198.71.130.63,us,2015-10-11,2017-11-13
0,0,seokicks.de,4,138.201.67.172,de,2017-11-27,2017-12-06
0,0,penso.com.br,4,200.219.235.30,br,2017-12-02,2017-12-08
6,7,reciclamais.com,4,200.229.137.213,br,2017-09-28,2017-11-27
14,32,notifyninja.com,3,54.243.6.119,us,2017-10-25,2017-10-25
0,0,wiizl.com,3,163.172.106.230,fr,2017-10-10,2017-10-10
0,0,webwiki.pt,3,144.76.222.78,de,2017-01-23,2017-12-08
1,0,acelerato.com.br,3,54.84.17.250,us,2017-06-13,2017-12-08
0,0,sitegur.com,3,5.9.10.113,de,2017-07-08,2017-11-25
1,0,saysayhk.com,2,59.188.24.203,hk,2017-11-22,2017-12-08
1,0,saysayhk.org,2,59.188.24.203,hk,2017-11-17,2017-12-09
31,36,crayon.co,2,54.186.32.172,us,2017-11-27,2017-12-07
1,0,helpdigitalti.com.br,2,149.56.157.199,ca,2017-10-11,2017-12-09
0,0,vendaportaaporta.com.br,2,173.44.46.2,us,2017-11-26,2017-12-09
