Keyword,Position,Previous Position,Search Volume,Keyword Difficulty Index,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp
"help desk","7","7","9900","51.17","48.62","http://blog.acelerato.com/help-desk/help-desk-ou-helpdesk/","10.74","24.60","0.87","449000000","0.67,0.82,0.67,0.82,0.67,0.55,0.67,0.67,1.00,0.82,0.82,0.82","1513322137"
"helpdesk","5","6","3600","53.54","103.89","http://blog.acelerato.com/help-desk/help-desk-ou-helpdesk/","4.88","23.90","0.84","51300000","1.00,1.00,1.00,1.00,1.00,0.81,0.81,0.81,1.00,1.00,1.00,1.00","1513331695"
"pmp","8","9","5400","60.66","3.48","http://blog.acelerato.com/projetos/o-que-e-pmp/","4.39","0.72","0.40","47600000","0.67,0.82,0.82,0.82,0.82,0.67,0.82,0.82,1.00,0.82,0.82,0.82","1513266029"
"a importancia do marketing nas empresas","1","1","260","54.87","4.26","http://blog.acelerato.com/gestao/a-importancia-do-marketing-para-as-empresas/","3.30","0.66","0.10","12300000","0.81,0.05,0.15,0.05,0.66,0.24,1.00,0.44,0.15,0.66,0.44,0.19","1509636631"
"sistema de chamados","1","1","260","60.67","20.23","https://www.acelerato.com/atendimento/sistema-de-chamados/","3.30","3.15","0.82","1990000","0.81,0.81,0.81,0.81,0.66,0.66,0.81,0.81,1.00,0.81,1.00,1.00","1513175209"
"atendimento presencial","1","1","170","70.32","2.70","http://blog.acelerato.com/artigo/dicas-para-se-obter-excelencia-no-atendimento-presencial-ao-cliente/","2.14","0.27","0.03","2990000","0.34,0.53,0.66,0.53,0.53,0.34,0.44,0.34,1.00,0.66,0.66,0.66","1512499589"
"autogerenciamento","3","3","880","66.92","0.87","http://blog.acelerato.com/gestao/autogerenciamento-nao-desperdice-qualidades/","2.14","0.08","0.07","45000","0.82,0.54,0.24,0.54,0.29,0.36,0.67,0.15,1.00,1.00,0.19,1.00","1511143267"
"diagrama de ishikawa","21","25","49500","68.47","1.07","http://blog.acelerato.com/artigo/diagrama-de-ishikawa-e-sua-importancia/","2.00","0.09","0.01","321000","0.13,0.09,0.04,0.09,0.45,0.45,1.00,0.25,0.03,0.16,0.25,0.16","1513267784"
"abrir telefone","12","11","5400","87.97","0.00","https://www.acelerato.com/pages/integracao/abrir-chamados-pelo-telefone/","1.89","0.00","0.00","16700000","1.00,0.36,0.15,0.36,0.67,0.55,0.82,0.15,0.24,0.24,0.29,1.00","1513337012"
"pensamento sistemico","11","13","1300","65.75","0.06","http://blog.acelerato.com/projetos/pensamento-sistemico/","1.65","0.00","0.01","530000","0.46,0.84,0.84,0.84,0.84,0.46,0.31,0.46,0.84,0.84,1.00,0.84","1511592004"
