Page score,Page trust score,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
31,32,Freshdesk | Customer Support Software & Helpdesk Solution,https://freshdesk.com/,http://freshdesk.com.br/,Português,40,65,false,true,false,false,false,false,2017-01-15,2017-11-17,false,false
11,13,Freshdesk Plans & Pricing | Freshdesk help desk software trial,https://freshdesk.com/pricing,http://freshdesk.com.br/,Português,36,73,false,true,false,false,false,false,2017-01-15,2017-11-17,false,false
8,9,Freshdesk | Online Ticketing System for Customer Support,https://freshdesk.com/ticketing,http://freshdesk.com.br/,Português,38,100,false,true,false,false,false,false,2017-01-25,2017-11-28,false,false
7,4,Help Desk API for Developers | Freshdesk,https://freshdesk.com/api,http://freshdesk.com.br/,Português,16,36,false,true,false,false,false,false,2017-04-27,2017-10-10,false,true
7,8,Login to your Freshdesk Account,https://freshdesk.com/login,http://freshdesk.com.br/,Português,35,61,false,true,false,false,false,false,2017-04-28,2017-11-17,false,false
6,4,Customer Support Software Features and Comparison | Freshdesk,https://freshdesk.com/helpdesk-features,http://freshdesk.com.br/,Português,30,156,false,true,false,false,false,false,2017-04-29,2017-11-17,false,false
6,8,Freshdesk - Company | Good Customer Service is Good Business,https://freshdesk.com/company/about,http://freshdesk.com.br/,Português,36,77,false,true,false,false,false,false,2017-01-21,2017-10-07,false,false
5,5,Freshdesk | News and announcements,https://freshdesk.com/news,http://freshdesk.com.br/,Português,222,72,false,true,false,false,false,false,2017-04-27,2017-11-28,false,false
4,6,Engage customers online with the Community Forum,https://freshdesk.com/customer-engagement/community-forum,http://freshdesk.com.br/,Português,28,80,false,true,false,false,false,false,2017-04-28,2017-11-17,false,false
4,5,Freshdesk - Resellers | Benefits of Freshdesk Reseller Program,https://freshdesk.com/resellers/reseller-benefits,http://freshdesk.com.br/,Português,28,73,false,true,false,false,false,false,2017-04-27,2017-11-11,false,false
4,3,Uptime statistic of freshdesk.com.br and additional info tools,https://web.notifyninja.com/freshdesk.com.br,http://freshdesk.com.br/,site-image,3,30,false,true,false,false,false,false,2017-11-13,2017-11-13,true,false
4,3,Uptime statistic of freshdesk.com.br and additional info tools,https://web.notifyninja.com/freshdesk.com.br,http://freshdesk.com.br/,,3,30,false,false,false,false,true,false,2017-11-13,2017-11-13,true,false
4,3,Uptime statistic of freshdesk.com.br and additional info tools,https://web.notifyninja.com/freshdesk.com.br,http://freshdesk.com.br/,freshdesk.com.br,3,30,false,true,false,false,false,false,2017-11-13,2017-11-13,true,false
4,3,Integrate real-time data from third-party apps to your help desk | FreshPlugs,https://freshdesk.com/free-support-tools/integrate-helpdesk-third-party-apps-freshplugs,http://freshdesk.com.br/,Português,49,51,false,true,false,false,false,false,2017-06-14,2017-09-27,false,false
4,3,Join Freshdesk Reseller Program,https://freshdesk.com/resellers/become-reseller,http://freshdesk.com.br/,Português,28,74,false,true,false,false,false,false,2017-04-28,2017-10-17,false,false
4,3,Get Freshdesk for iOS and Android,https://freshdesk.com/helpdesk-management/mobile-app-help-desk,http://freshdesk.com.br/,Português,65,59,false,true,false,false,false,false,2017-10-10,2017-11-28,false,false
3,4,Team collaboration by Freshdesk : Team Huddle,https://freshdesk.com/team-huddle,http://freshdesk.com.br/,Português,53,52,false,true,false,false,false,false,2017-09-10,2017-11-28,false,false
3,4,Help Desk Gamification | Gamify your Customer Support with Freshdesk,https://freshdesk.com/scaling-support/gamification-support-help-desk,http://freshdesk.com.br/,Português,29,80,false,true,false,false,false,false,2017-04-28,2017-11-17,false,false
3,4,Integrated live chat support from Freshdesk,https://freshdesk.com/multichannel-support/live-chat,http://freshdesk.com.br/,Português,29,77,false,true,false,false,false,false,2017-05-03,2017-12-09,false,false
3,3,Convert Facebook comments & Twitter mentions into Help desk tickets | Social Customer Service Software - Freshdesk,http://freshdesk.com/customer-engagement/social-customer-service,http://freshdesk.com.br/,Português,20,74,false,true,false,false,false,false,2014-11-26,2017-12-09,false,false
3,3,Convert Facebook comments & Twitter mentions into Help desk tickets | Social Customer Service Software - Freshdesk,http://freshdesk.com/customer-engagement/social-customer-service,http://blog.freshdesk.com.br/,Português,33,71,false,true,false,false,false,false,2016-08-16,2017-10-22,false,true
3,4,Freshdesk Mobile Apps for iOS and Android,https://freshdesk.com/mobile,http://freshdesk.com.br/,Português,31,71,false,true,false,false,false,false,2017-05-03,2017-11-23,false,false
3,3,Free Support Software | Online Help Desk Tool | Best Support S/W for small businesses - Freshdesk,https://freshdesk.com/pricing/free-support-software,http://freshdesk.com.br/,Português,28,77,false,true,false,false,false,false,2017-04-27,2017-11-28,false,false
2,4,Customer Support Software & Ticketing System | Freshdesk,http://freshdesk.com/?=1m1mpr,http://freshdesk.com.br/,Português,65,64,false,true,false,false,false,false,2017-10-17,2017-11-17,false,false
2,4,Freshdesk Customers | 'a really wonderful support application!,http://freshdesk.com/customers,http://freshdesk.com.br/,Português,25,55,false,true,false,false,false,false,2014-04-20,2017-12-09,false,false
2,4,"80,000 companies of all sizes use Freshdesk for customer support",http://freshdesk.com/customers,http://blog.freshdesk.com.br/,Português,33,76,false,true,false,false,false,false,2016-08-05,2017-10-22,false,true
2,4,Customer Support Software & Ticketing System | Freshdesk,https://freshdesk.com/?device=c&gclid=CjwKEAiAirXFBRCQyvL279Tnx1ESJAB-G-QvFkJrW8MaxNR5V-2aFCQNU9KFNF9v45pAGdKF_GmZNRoC7ebw_wcB,http://freshdesk.com.br/,Português,65,62,false,true,false,false,false,false,2017-10-10,2017-11-11,false,false
2,4,Help Desk Gamification | Gamify your Customer Support with Freshdesk,http://freshdesk.com/scaling-support/gamification-support-help-desk,http://blog.freshdesk.com.br/,Português,34,70,false,true,false,false,false,false,2016-07-21,2017-10-22,false,true
2,4,Help Desk Gamification | Gamify your Customer Support with Freshdesk,http://freshdesk.com/scaling-support/gamification-support-help-desk,http://freshdesk.com.br/,Português,26,62,false,true,false,false,false,false,2014-04-20,2017-11-23,false,false
2,4,Phone Call Rates | Freshdesk's built-in cloud telephony,https://freshdesk.com/multichannel-support/phone-support/call-rates,http://freshdesk.com.br/,Português,49,50,false,true,false,false,false,false,2017-06-09,2017-09-27,false,false
2,3,Customer Support Software & Ticketing System | Freshdesk,https://freshdesk.com/?device=c&gclid=CNWLmo-j7c4CFYSCaQodHL8Azw,http://freshdesk.com.br/,Português,65,64,false,true,false,false,false,false,2017-10-17,2017-10-17,false,false
2,4,Freshdesk for Mobile | Support customers right out of your pocket,http://freshdesk.com/helpdesk-management/mobile-app-help-desk,http://freshdesk.com.br/,Português,27,60,false,true,false,false,false,false,2014-04-21,2017-11-28,false,false
2,4,Freshdesk for Mobile | Support customers right out of your pocket,http://freshdesk.com/helpdesk-management/mobile-app-help-desk,http://blog.freshdesk.com.br/,Português,35,67,false,true,false,false,false,false,2016-07-08,2017-10-10,false,true
