Domain score,Domain trust score,Domain,Backlinks,IP Address,Country,First seen,Last seen
58,66,freshdesk.com,562,52.84.122.169,us,2014-04-20,2017-12-09
48,55,capterra.com,36,204.197.210.126,us,2017-10-10,2017-11-28
18,19,lumiun.com,10,169.57.153.162,br,2017-06-17,2017-12-08
1,0,simplixrtc.com.br,7,104.27.136.29,us,2017-01-19,2017-12-07
14,32,notifyninja.com,3,54.243.6.119,us,2017-11-13,2017-11-13
7,5,list-of-domains.org,3,198.71.130.63,us,2017-06-18,2017-11-19
38,46,prweb.net,2,199.83.132.123,us,2017-10-17,2017-10-17
13,11,cloudtools.nl,2,178.251.194.142,nl,2017-10-17,2017-10-17
1,0,helpdigitalti.com.br,2,149.56.157.199,ca,2017-10-11,2017-12-09
0,0,freshsales.com.br,2,52.85.146.184,us,2017-12-08,2017-12-08
9,8,webnamelist.com,2,184.168.143.37,us,2015-10-07,2017-11-15
23,31,vindi.com.br,2,52.71.147.102,us,2017-01-19,2017-11-24
10,28,gdsolutions.com.br,2,104.236.168.165,us,2017-10-19,2017-11-29
0,0,similarsites.com,2,35.164.255.240,us,2017-09-13,2017-09-15
18,30,enotas.com.br,2,96.126.116.159,us,2017-10-07,2017-12-05
0,0,freshdesk.nl,1,54.230.51.67,us,2015-02-17,2017-09-29
8,28,urlm.com.br,1,54.232.110.36,br,2017-10-17,2017-10-17
1,0,vidyapur.com,1,46.4.61.16,de,2017-10-10,2017-11-11
0,0,keyfora.com,1,104.18.47.15,us,2017-11-03,2017-11-03
10,13,freshdesk.jp,1,54.230.22.78,us,2015-02-17,2017-10-16
0,0,rankank.com,1,47.88.101.75,us,2017-09-26,2017-10-28
6,7,geek-tools.org,1,144.76.100.150,de,2017-11-22,2017-11-22
38,44,stackshare.io,1,151.101.129.209,us,2017-10-17,2017-10-17
0,0,brweb.xyz,1,192.155.92.219,us,2017-11-08,2017-11-08
19,24,cammino.com.br,1,184.107.142.130,ca,2017-07-21,2017-12-05
19,31,heflo.com,1,54.148.199.166,us,2017-12-07,2017-12-07
1,3,minieetea.com,1,128.199.134.143,sg,2017-10-10,2017-11-28
3,27,urlmetryka.pl,1,54.247.126.140,eu,2017-10-10,2017-11-11
0,0,seoinlink.com,1,45.33.34.95,us,2017-11-11,2017-11-11
23,33,superlogica.com,1,54.94.27.108,br,2017-09-11,2017-11-12
21,31,mustat.com,1,46.105.117.190,fr,2017-11-08,2017-11-08
0,0,seokicks.de,1,138.201.67.172,de,2017-09-23,2017-09-23
7,7,sitefiyatlari.com,1,159.253.37.153,tr,2016-08-06,2017-10-05
16,21,industryindex.com,1,192.241.157.69,us,2017-10-10,2017-11-11
5,27,urlmetrics.be,1,54.195.244.172,ie,2017-10-17,2017-10-17
5,3,ilhaservice.com.br,1,191.6.199.20,br,2017-09-24,2017-11-09
53,58,zapier.com,1,54.173.197.159,us,2017-10-10,2017-11-11
30,38,ecommercenews.com.br,1,170.80.189.10,br,2017-12-09,2017-12-09
0,0,getlinkinfo.com,1,139.59.17.214,in,2017-09-12,2017-09-12
