Keyword,Position,Previous Position,Search Volume,Keyword Difficulty Index,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp
"freshdesk","1","1","1300","55.41","22.84","http://freshdesk.com.br/","64.79","62.56","0.61","1360000","0.16,1.00,0.44,1.00,0.55,0.67,0.19,0.44,0.29,0.29,0.24,0.16","1511619426"
"fresh desk","1","1","90","58.01","37.11","http://freshdesk.com.br/","4.48","7.03","0.71","94700000","0.19,0.12,0.67,0.12,0.67,1.00,0.24,0.54,0.36,0.36,0.36,0.24","1513417582"
"fresdesk","1","1","90","60.99","20.98","http://freshdesk.com.br/","2.61","2.33","0.54","1310000","0.22,0.22,0.56,0.22,0.78,1.00,0.33,1.00,0.56,0.56,0.22,0.56","1513425315"
"o tempo online","13","13","4400","73.86","0.00","http://freshdesk.com.br/gerenciamento-do-helpdesk/controle-de-tempo/","2.42","0.00","0.00","166000000","1.00,0.82,1.00,1.00,0.82,0.82,1.00,0.82,1.00,0.82,0.82,0.82","1513545154"
"chat helpdesk","1","1","70","41.67","0.22","http://freshdesk.com.br/suporte-multicanal/chat-online/","1.99","0.01","0.52","888000","0.29,1.00,0.43,1.00,0.14,0.57,0.14,0.57,0.14,0.29,0.29,1.00","1511204753"
"publico alvo natura cosmeticos","1","1","70","79.87","0.00","http://blog.freshdesk.com.br/sucesso-da-natura-seu-publico/","1.99","0.00","0.02","43000","0.11,0.78,0.22,0.78,1.00,0.44,1.00,0.44,0.22,0.22,0.11,0.78","1511344838"
"helpdesk free","1","1","50","50.07","12.87","http://freshdesk.com.br/free-help-desk-software/","1.43","0.78","0.98","52200000","1.00,1.00,0.71,0.57,0.43,0.29,0.57,0.57,0.71,0.71,0.57,0.71","1512562394"
"help desk free","2","2","170","59.77","21.05","http://freshdesk.com.br/free-help-desk-software/","1.37","1.21","0.91","179000000","0.81,1.00,1.00,1.00,0.67,0.52,0.67,0.67,0.81,0.81,0.81,0.81","1512392740"
"fazer email","43","50","74000","82.75","0.68","http://freshdesk.com.br/gerenciamento-do-helpdesk/emissao-de-tickets-de-helpdesk-por-email/","1.37","0.03","0.76","2470000","1.00,1.00,0.82,0.82,0.82,0.82,1.00,0.82,1.00,1.00,1.00,1.00","1513603870"
"base de conhecimento","7","7","390","62.11","3.65","http://freshdesk.com.br/gerenciamento-do-helpdesk/base-de-conhecimento/","0.93","0.14","0.12","19700000","0.66,0.66,0.66,0.66,0.66,0.44,0.54,0.66,1.00,0.81,0.81,1.00","1513135944"
"preços","28","17","9900","74.36","0.52","http://freshdesk.com.br/precos/","0.87","0.01","0.10","145000000","0.55,0.45,0.55,0.55,0.67,0.67,0.82,0.82,1.00,0.82,0.82,1.00","1513047511"
"help desk","22","17","9900","51.62","48.62","http://freshdesk.com.br/","0.87","1.89","0.87","461000000","0.67,0.82,0.67,0.82,0.67,0.55,0.67,0.67,1.00,0.82,0.82,0.82","1513601656"
"help desk software","3","3","140","51.50","58.23","http://freshdesk.com.br/","0.74","1.93","0.95","67400000","0.82,0.82,0.82,0.82,1.00,0.65,0.53,0.53,0.65,0.65,0.82,0.82","1512400184"
"sistema de tickets","4","4","170","42.93","54.94","http://freshdesk.com.br/emissao-de-tickets/","0.68","1.71","0.92","1170000","0.24,0.36,0.24,1.00,0.24,0.12,0.16,0.30,0.67,0.44,0.44,0.82","1513349082"
