Page score,Page trust score,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
50,52,E-Commerce Brasil - Artigos e Dicas sobre comércio eletrônico,https://www.ecommercebrasil.com.br/,http://www.neoassist.com/,NeoAssist,91,474,false,true,false,false,false,true,2017-10-25,2017-11-25,false,false
50,52,E-Commerce Brasil - Artigos e Dicas sobre comércio eletrônico,https://www.ecommercebrasil.com.br/,http://www.neoassist.com/,,74,485,false,false,false,false,true,true,2017-03-01,2017-10-25,false,true
39,33,Stelo | Pagamentos Online com Segurança,http://www.stelo.com.br/,http://stelo.neoassist.com/?th=Iframe,Central de relacionamento,3,20,false,true,false,false,false,false,2016-09-11,2017-11-20,false,true
32,29,Loja Oficial da Carmen Steffens - Moda Feminina,http://www.carmensteffens.com.br/,http://carmensteffens.neoassist.com/?action=new&th=troca,Troca Fácil,15,126,false,true,false,false,false,true,2016-08-31,2017-10-10,false,false
32,29,Loja Oficial da Carmen Steffens - Moda Feminina,http://www.carmensteffens.com.br/,http://carmensteffens.neoassist.com/?action=new&th=troca,Troca,15,144,false,true,false,false,false,true,2016-11-23,2017-10-10,false,false
31,33,Martins Atacado Online | notebook,https://b.martins.com.br/busca.aspx?f_marca=Lenovo&page=1&q=notebook,https://martins.neoassist.com/?th=popupchat,Fale Conosco,8,510,false,true,false,false,false,true,2017-07-04,2017-11-19,false,false
29,31,Prêmio E-Commerce Brasil 2017 | E-Commerce Brasil,http://www.premioecommercebrasil.com.br/,http://www.neoassist.com/,,67,15,false,false,false,false,true,false,2017-07-05,2017-12-06,false,false
29,31,Blog Fala Mart -,http://www.falamart.com.br/,http://martins.neoassist.com/?action=get&element=NL.Auth,Atendimento Online,43,148,false,true,false,false,false,true,2017-03-18,2017-10-30,false,false
28,24,Drogaria São Paulo,http://www.drogariasaopaulo.com.br/,http://drogariasp.neoassist.com/?th=chatdrogariaspvt,Chat online,4,775,false,true,false,false,false,true,2017-04-07,2017-10-13,false,false
26,27,Martins | Atacado Online,https://b.martins.com.br/Default.aspx,http://martins.neoassist.com/?action=get&element=NL.Auth,Black Atendimento online,21,527,false,true,false,false,false,false,2017-11-18,2017-11-18,true,false
26,27,Martins | Atacado Online,https://b.martins.com.br/Default.aspx,http://martins.neoassist.com/?action=get&element=NL.Auth,Atendimento online,19,502,false,true,false,false,false,false,2017-07-06,2017-11-18,false,true
20,21,Como é trabalhar na empresa NeoAssist | 99jobs.com,https://99jobs.com/neoassist,http://www.neoassist.com/,http://www.neoassist.com/,25,33,false,true,false,false,false,false,2017-11-17,2017-12-02,true,false
19,18,Tang,http://www.tang.com.br/,http://mondelez.neoassist.com/?action=get&element=FormMail&th=tangv3,,47,2,false,false,true,false,false,false,2016-12-25,2017-10-18,false,false
19,18,Tang,http://www.tang.com.br/,http://mondelez.neoassist.com/?th=tangv3,,47,2,false,false,true,false,false,false,2016-12-25,2017-10-18,false,false
15,7,642 – Marcyn,https://www.marcyn.com.br/toda-a-loja,https://marcyn.neoassist.com/?th=marcyneletro,,8,405,false,false,true,false,false,false,2017-10-30,2017-11-28,false,false
15,7,Martins | Atacado Online,http://b.martins.com.br/,http://martins.neoassist.com/?action=get&element=NL.Auth,Atendimento online,19,517,false,true,false,false,false,false,2017-08-04,2017-11-17,false,false
14,2,Comprar Online Móveis para Casa e Escritório | Mpozenato,http://www.mpozenato.com.br/,http://alkes.neoassist.com/?origem=MPozenato&th=mpozenatoNeoa,,15,319,false,false,false,true,false,false,2017-09-23,2017-09-23,false,false
14,16,Sutiã com Aro Renda Florette Nude | Compre Já! - Marcyn,http://www.marcyn.com.br/sutia-com-aro-florette-avela-0181/p,http://marcyn.neoassist.com/?th=marcyneletro,,10,80,false,false,true,false,false,false,2017-01-29,2017-09-14,false,false
13,10,Drogaria São Paulo,https://www.drogariasaopaulo.com.br/,https://drogariasp.neoassist.com/?th=chatdrogariaspvt,Chat online,4,703,false,true,false,false,false,false,2017-10-28,2017-11-30,false,false
13,12,Martins | Atacado Online,http://b.martins.com.br/Default.aspx,http://martins.neoassist.com/?action=get&element=NL.Auth,Atendimento online,18,507,false,true,false,false,false,false,2017-07-08,2017-11-25,false,false
11,11,Fórum E-Commerce Brasil 2017,https://eventos.ecommercebrasil.com.br/forum/,http://neoassist.com/,NeoAssist NeoAssist Líder no desenvolvimento de soluções tecnológicas inovadoras para atendimento e relacionamento com clientes.,387,42,false,true,false,false,false,false,2017-08-17,2017-12-01,false,false
11,6,Lingerie Online - Compre Já | Marcyn,https://www.marcyn.com.br/lingerie,https://marcyn.neoassist.com/?th=marcyneletro,,7,600,false,false,true,false,false,false,2017-11-03,2017-11-03,false,false
11,3,"Lingeries, Moda Praia e Fitness - Aproveite | Marcyn",https://www.marcyn.com.br/,https://marcyn.neoassist.com/?th=marcyneletro,,9,182,false,false,true,false,false,false,2017-11-05,2017-11-05,false,false
10,12,Celulares e Smartphones | Bemol,https://www.bemol.com.br/c/telefonia/celular,http://bemol.neoassist.com/,,13,140,false,false,false,false,true,false,2017-02-13,2017-11-12,false,false
10,7,CNA - Cursos de inglês e espanhol,http://www.e-cna.com.br/,http://cna.neoassist.com/n.js?d=cna.neoassist.com&ip=Index&it=flutuanteNeoa,,11,18,false,false,true,false,false,false,2017-09-15,2017-09-15,false,false
