Domain score,Domain trust score,Domain,Backlinks,IP Address,Country,First seen,Last seen
3,5,meuconcurso.com,23610,54.207.119.26,br,2017-07-03,2017-12-09
30,38,ecommercenews.com.br,5640,170.80.189.10,br,2017-01-20,2017-12-09
6,7,universofnac.com.br,5225,177.126.187.71,br,2017-01-20,2017-12-09
21,34,drogariasaopaulo.com.br,2541,54.210.242.58,us,2017-04-07,2017-12-01
15,30,cers.com.br,1196,54.207.119.26,br,2016-11-23,2017-11-17
4,1,pozelar.com.br,979,177.67.126.127,br,2017-09-13,2017-11-09
11,29,marcyn.com.br,964,52.222.220.167,us,2016-09-08,2017-12-07
16,31,bemol.com.br,592,179.191.176.75,br,2017-01-18,2017-12-08
17,30,cobasi.com.br,184,184.72.88.104,us,2017-09-21,2017-11-10
3,0,press2releaseweb.com,143,104.28.13.26,us,2014-11-16,2017-12-09
23,35,netfarma.com.br,139,23.6.73.10,us,2017-01-21,2017-12-09
12,29,ingressando.com.br,124,54.235.56.140,us,2017-07-02,2017-11-30
0,0,similarsites.com,118,34.195.251.240,us,2017-08-17,2017-12-08
36,43,ecommercebrasil.com.br,101,177.52.163.198,br,2017-01-03,2017-12-09
6,10,fastincentivos.com.br,48,200.142.192.8,br,2017-01-23,2017-12-07
1,0,search-web.us,43,81.231.146.222,se,2017-09-21,2017-12-09
7,9,blogdocallcenter.com.br,32,109.123.210.42,cz,2016-12-18,2017-12-05
18,25,socialminer.com,31,107.23.186.162,us,2017-02-11,2017-12-07
4,27,dialogo.com.br,27,67.205.171.173,us,2017-02-14,2017-12-09
22,34,giulianaflores.com.br,26,54.94.239.107,br,2017-02-08,2017-11-29
1,0,sublimestudio.com.br,26,192.95.29.50,ca,2017-01-20,2017-12-06
4,7,loopticket.com.br,26,54.147.212.147,us,2017-08-30,2017-12-08
25,34,submarinoviagens.com.br,25,192.229.162.117,us,2017-01-18,2017-11-28
2,0,seek-web.net,24,81.231.146.222,se,2017-09-20,2017-11-21
13,30,cestasmichelli.com.br,22,23.111.132.238,us,2017-02-06,2017-12-09
1,0,socialcontactcenter.com.br,19,158.69.118.169,ca,2017-06-18,2017-12-07
27,37,profissionaldeecommerce.com.br,18,192.124.249.14,us,2016-11-23,2017-10-21
24,32,aiken.cz,18,31.31.73.122,cz,2014-11-27,2017-12-09
25,35,aloingressos.com.br,18,54.227.220.10,us,2017-06-30,2017-10-25
34,37,apsis.ch,17,212.25.31.4,ch,2015-01-22,2017-12-08
0,0,wiy.com.br,16,192.99.63.227,ca,2017-06-12,2017-11-15
4,0,cidadenoar.com,15,52.67.23.156,br,2017-04-24,2017-12-02
28,37,digitalks.com.br,15,67.205.157.99,us,2017-02-04,2017-12-01
5,11,lojadaeliana.com.br,14,18.231.0.160,br,2017-01-20,2017-11-25
