Keyword,Position,Previous Position,Search Volume,Keyword Difficulty Index,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp
"call center","1","1","18100","68.94","2.08","https://blog.neoassist.com/o-que-e-call-center/","27.56","14.97","0.48","150000000","0.82,0.82,0.82,1.00,0.82,0.67,1.00,0.82,1.00,1.00,1.00,1.00","1513579609"
"atendimento ao cliente","1","1","8100","72.06","1.75","https://blog.neoassist.com/o-que-e-atendimento-ao-cliente/","12.33","5.65","0.23","3510000","0.82,1.00,1.00,1.00,1.00,0.55,0.67,0.67,1.00,0.82,1.00,1.00","1513518250"
"atendimento ao cliente","2","2","8100","72.06","1.75","https://blog.neoassist.com/bom-atendimento-ao-cliente-melhores-praticas/","3.41","1.56","0.23","3510000","0.82,1.00,1.00,1.00,1.00,0.55,0.67,0.67,1.00,0.82,1.00,1.00","1513518250"
"satisfação do cliente","1","1","1900","52.50","1.53","https://blog.neoassist.com/satisfacao-do-cliente/","2.89","1.15","0.28","5950000","0.54,0.79,1.00,1.00,1.00,0.42,0.42,0.54,0.79,0.79,1.00,0.79","1513523767"
"qualidade no atendimento","1","1","1600","60.85","0.87","https://blog.neoassist.com/qualidade-no-atendimento-ao-cliente-5-pilares/","2.43","0.55","0.08","29900000","0.42,0.67,0.79,0.79,0.79,0.42,0.54,0.54,0.79,1.00,1.00,0.79","1511589886"
"callcenter","1","1","1300","59.81","3.22","https://blog.neoassist.com/o-que-e-call-center/","1.98","1.66","0.29","107000000","0.81,0.81,0.81,1.00,1.00,0.62,0.81,0.81,1.00,0.81,0.81,0.81","1511120340"
"tipos de clientes","2","2","4400","70.19","1.89","https://blog.neoassist.com/7-tipos-de-clientes-que-voce-conhece-muito-bem-como-atende-los/","1.85","0.91","0.01","5420000","0.16,0.03,0.07,0.19,0.24,0.13,0.19,1.00,0.67,0.67,0.24,0.16","1513531405"
"qualidade no atendimento ao cliente","1","1","1000","56.79","2.11","https://blog.neoassist.com/qualidade-no-atendimento-ao-cliente-5-pilares/","1.52","0.83","0.07","11600000","0.55,0.62,0.81,0.81,0.81,0.45,0.45,0.55,1.00,0.81,0.81,0.81","1511612597"
"satisfação","4","4","6600","62.00","0.00","https://blog.neoassist.com/o-que-e-satisfacao-do-cliente/","1.49","0.00","0.00","30100000","0.82,1.00,1.00,1.00,1.00,0.82,0.82,0.82,1.00,1.00,1.00,1.00","1513591279"
"relacionamento com o cliente","1","1","880","71.49","4.95","https://blog.neoassist.com/o-que-e-relacionamento-com-o-cliente/","1.33","1.72","0.37","5270000","0.55,0.55,0.77,0.77,0.77,0.37,0.37,0.45,0.77,0.77,1.00,0.68","1511692843"
