Page score,Page trust score,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
36,27,CPAD - Casa Publicadora das Assembleias de Deus,http://www.cpad.com.br/,http://cpad.octadesk.com/login,,38,292,false,false,false,false,true,false,2017-01-04,2017-11-27,false,false
22,20,Hub Empreendedor,http://www.hubdoempreendedor.com.br/,http://www.octadesk.com/,Octadesk,88,3,false,true,false,false,false,false,2017-03-01,2017-10-22,false,false
20,20,RD Summit 2016,http://rdsummit.com.br/,http://www.octadesk.com/,Octadesk,215,21,false,true,false,false,false,false,2017-02-10,2017-10-05,false,true
16,18,Portal :: CPAD,http://www.editoracpad.com.br/,http://cpad.octadesk.com/login,SAC CPAD agora está Online Prático e muito mais rápido falar com a gente!,130,21,false,true,false,false,false,false,2016-11-23,2017-12-01,false,false
11,10,Home - CPADNews,http://www.cpadnews.com.br/home/,http://cpad.octadesk.com/login,SAC CPAD,35,118,false,true,false,false,false,false,2016-12-27,2017-11-20,false,false
10,10,Atendimento ao cliente com número 0800 • Atende Simples,http://atendesimples.com/,https://www.octadesk.com/,logo asaas,19,19,false,true,false,false,false,false,2017-07-24,2017-12-07,false,false
6,0,"Prevenir e Eliminar estrias, Varizes, Náuseas e Pernas Cansadas na Gravidez | Saúde | Diretório de Artigos",http://diretoriodeartigos.net/prevenir-e-eliminar-estrias-varizes-nauseas-e-pernas-cansadas-na-gravidez/,http://www.octadesk.com/,Octadesk,26,150,false,true,false,false,false,true,2017-05-25,2017-11-26,false,false
5,6,Portal :: CPAD,http://editoracpad.com.br/,http://cpad.octadesk.com/login,SAC CPAD agora está Online Prático e muito mais rápido falar com a gente!,138,13,false,true,false,false,false,false,2017-02-18,2017-11-30,false,false
4,0,Bexs,http://www.bexs.com/,http://octadesk.com/,Conheça mais,6,0,false,true,false,false,false,false,2017-04-24,2017-11-13,false,false
4,0,Atual Sistemas,http://www.atualcs.com.br/,https://atualcs.octadesk.com/login,Suporte CRM,2,6,false,true,false,false,false,false,2017-08-22,2017-10-24,false,true
