Keyword,Position,Previous Position,Search Volume,Keyword Difficulty Index,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp
"help desk","5","8","9900","51.62","48.62","https://blog.octadesk.com/diferencas-service-desk-e-help-desk/","34.18","87.46","0.87","461000000","0.67,0.82,0.67,0.82,0.67,0.55,0.67,0.67,1.00,0.82,0.82,0.82","1513601656"
"outubro rosa o que é","1","0","260","60.57","1.36","https://blog.octadesk.com/outubro-rosa/","8.42","0.60","0.15","7420000","0.09,0.01,0.03,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.20,1.00","1513339094"
"o que é outubro rosa","3","10","880","58.05","1.07","https://blog.octadesk.com/outubro-rosa/","5.45","0.30","0.18","5030000","0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,1.00","1511615636"
"qualidade no atendimento","7","5","1600","60.85","0.87","https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/","4.41","0.20","0.08","29900000","0.42,0.67,0.79,0.79,0.79,0.42,0.54,0.54,0.79,1.00,1.00,0.79","1511589886"
"bom atendimento","11","7","1300","64.51","1.66","https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/","4.21","0.36","0.03","6890000","0.62,0.81,0.81,0.81,0.81,0.55,0.81,0.81,1.00,1.00,1.00,1.00","1511598139"
"qualidade no atendimento ao cliente","6","12","1000","56.79","2.11","https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/","3.45","0.37","0.07","11600000","0.55,0.62,0.81,0.81,0.81,0.45,0.45,0.55,1.00,0.81,0.81,0.81","1511612597"
"o que é help desk","3","0","480","66.37","16.97","https://blog.octadesk.com/diferencas-service-desk-e-help-desk/","2.96","2.66","0.36","186000000","0.81,1.00,0.81,1.00,0.66,0.54,0.66,0.81,1.00,1.00,1.00,0.81","1513121086"
"planilha de controle de chamados ti","1","0","90","63.58","3.81","https://blog.octadesk.com/planilha-de-controle-de-chamados/","2.90","0.58","0.50","326000","0.33,1.00,0.44,1.00,1.00,0.56,0.22,0.56,0.33,0.33,0.33,0.56","1513419059"
"service desk","12","11","2900","50.10","25.45","https://blog.octadesk.com/diferencas-service-desk-e-help-desk/","2.55","3.48","0.86","6730000","0.81,1.00,1.00,0.81,0.81,0.67,0.81,0.81,1.00,1.00,1.00,1.00","1513599446"
"check list de atendimento ao cliente","1","0","70","39.51","7.62","https://blog.octadesk.com/checklist-agilidade-qualidade-no-atendimento-ao-cliente/","2.20","0.90","0.22","1250000","0.78,0.78,0.22,0.78,1.00,0.11,1.00,0.44,0.78,0.78,0.33,0.22","1511205232"
"como surgiu o outubro rosa","3","0","320","59.76","1.40","https://blog.octadesk.com/outubro-rosa/","1.93","0.14","0.11","237000","0.39,0.09,0.04,0.09,0.01,0.02,0.07,0.02,0.04,0.04,0.21,1.00","1513253493"
"helpdesk","14","14","3600","53.54","103.89","https://www.octadesk.com/","1.72","9.51","0.84","50900000","1.00,1.00,1.00,1.00,1.00,0.81,0.81,0.81,1.00,1.00,1.00,1.00","1513621744"
"planilha de atendimento ao cliente","1","1","50","68.13","0.03","http://blog.octadesk.com/planilha-de-atendimento-ao-cliente/","1.58","0.00","0.24","550000","0.78,1.00,1.00,0.56,0.44,0.44,0.78,0.56,1.00,0.33,0.44,0.44","1509283673"
"sistema de chamados","3","3","260","60.67","20.23","https://www.octadesk.com/sistema-de-chamados","1.58","1.71","0.82","1990000","0.81,0.81,0.81,0.81,0.66,0.66,0.81,0.81,1.00,0.81,1.00,1.00","1513175209"
"o que é o outubro rosa","10","0","720","60.08","1.75","https://blog.octadesk.com/outubro-rosa/","1.45","0.13","0.17","13500000","0.25,0.02,0.04,0.02,0.03,0.03,0.07,0.03,0.05,0.05,0.13,1.00","1510498861"
"solaser","12","0","6600","65.96","0.06","https://solaser.octadesk.com/helpcenter","1.17","0.00","0.06","504000","0.30,0.36,0.81,0.36,0.20,0.54,0.36,0.16,0.23,0.23,1.00,0.67","1513621282"
"dicas para um bom atendimento","5","0","320","59.13","0.48","https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/","1.10","0.02","0.04","2190000","0.24,0.08,0.02,0.08,0.08,0.24,0.19,0.44,0.03,0.67,0.12,1.00","1513506149"
"o que é service desk","3","0","170","58.58","10.23","https://blog.octadesk.com/diferencas-service-desk-e-help-desk/","1.03","0.56","0.40","27600000","0.65,0.65,0.81,0.81,0.65,0.42,0.65,0.65,0.81,0.65,1.00,0.65","1512409519"
"controle de atendimento ao cliente","1","0","30","50.11","3.84","https://blog.octadesk.com/planilha-de-atendimento-ao-cliente/","0.96","0.18","0.46","1380000","1.00,0.75,0.75,0.75,1.00,0.50,1.00,1.00,1.00,0.50,0.75,0.75","1513100556"
"movimento outubro rosa","7","0","320","59.07","0.00","https://blog.octadesk.com/outubro-rosa/","0.82","0.00","0.06","1350000","0.01,0.03,0.25,1.00,0.06,0.01,0.00,0.00,0.01,0.01,0.01,0.01","1513173827"
"profissional de atendimento","2","0","90","45.92","0.00","https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/","0.75","0.00","0.02","5260000","0.71,1.00,0.29,1.00,1.00,0.14,0.57,0.14,0.43,0.43,0.71,0.14","1513576537"
"check list de atendimento ao cliente","2","0","70","39.51","7.62","https://blog.octadesk.com/checklist-de-atendimento-helpdesk/","0.62","0.24","0.22","1250000","0.78,0.78,0.22,0.78,1.00,0.11,1.00,0.44,0.78,0.78,0.33,0.22","1511205232"
"como melhorar o atendimento ao cliente","4","0","140","66.30","1.85","https://blog.octadesk.com/gestao-de-processos-no-atendimento/","0.62","0.05","0.26","433000","0.65,0.82,1.00,1.00,1.00,0.53,0.65,0.82,1.00,1.00,1.00,0.82","1512400475"
"sistema de atendimento","3","0","110","41.60","6.58","https://blog.octadesk.com/sistema-de-atendimento-ao-cliente/","0.62","0.22","0.88","38900000","0.65,0.82,0.82,0.65,0.65,0.41,0.65,0.65,1.00,0.65,0.82,0.65","1512410130"
"guia de atendimento","2","0","70","63.18","10.85","https://blog.octadesk.com/guia-de-atendimento-ao-cliente/","0.62","0.35","0.09","22700000","0.71,0.57,0.14,0.57,0.14,1.00,1.00,0.29,0.57,0.57,0.29,0.29","1511159699"
"sistema de atendimento ao cliente","2","0","70","45.05","8.86","https://blog.octadesk.com/sistema-de-atendimento-ao-cliente/","0.62","0.28","0.92","2190000","0.64,0.64,1.00,0.64,0.64,0.45,0.45,0.45,0.64,0.64,0.82,0.82","1512550311"
"help dest","3","4","90","56.25","0.00","https://www.octadesk.com/","0.55","0.00","0.57","20400000","0.11,0.11,0.44,1.00,0.11,0.11,0.22,0.56,0.33,0.33,0.11,0.56","1509739096"
"melhoria no atendimento","3","0","90","58.63","2.31","https://blog.octadesk.com/gestao-de-processos-no-atendimento/","0.55","0.05","0.06","2410000","0.11,0.56,0.22,0.56,1.00,0.33,1.00,0.33,0.11,0.11,0.11,0.56","1513428034"
"help desk o que é","3","0","90","67.45","6.74","https://blog.octadesk.com/diferencas-service-desk-e-help-desk/","0.55","0.18","0.32","189000000","0.50,0.64,0.64,0.64,0.50,0.36,0.64,0.50,0.79,0.79,1.00,1.00","1512495742"
"porque outubro rosa","9","0","260","52.78","0.00","https://blog.octadesk.com/outubro-rosa/","0.48","0.00","0.04","3010000","0.00,0.00,0.05,1.00,0.05,0.01,0.01,0.00,0.00,0.00,0.00,0.00","1513178002"
"fluxograma de atendimento ao cliente","6","0","140","59.49","7.36","https://blog.octadesk.com/gestao-de-processos-no-atendimento/","0.48","0.17","0.15","2010000","0.36,0.02,0.08,0.02,1.00,1.00,0.44,0.19,0.08,0.29,0.19,0.29","1513367205"
"bom atendimento ao cliente","12","8","590","59.57","2.11","https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/","0.48","0.04","0.07","2650000","0.82,0.82,1.00,0.82,0.82,0.54,0.54,0.67,1.00,0.82,1.00,0.82","1512548566"
"controle de chamados","4","0","110","33.07","3.51","https://blog.octadesk.com/planilha-de-controle-de-chamados/","0.48","0.09","0.69","2380000","1.00,0.04,0.36,0.15,0.07,0.07,0.07,0.54,0.04,0.82,0.44,0.82","1513544020"
"help desk as a service","4","8","90","51.38","0.00","http://blog.octadesk.com/diferencas-service-desk-e-help-desk/","0.41","0.00","0.00","104000000","0.11,0.11,0.11,0.11,0.11,0.78,1.00,0.11,0.11,0.11,0.44,0.11","1509750017"
"gestão do atendimento","4","30","90","55.78","0.00","http://blog.octadesk.com/gestao-de-processos-no-atendimento/","0.41","0.00","0.27","21800000","0.33,0.56,0.22,0.56,1.00,0.33,0.44,1.00,0.56,0.56,0.78,0.56","1509750382"
"planilha de atendimento ao cliente","2","2","50","68.13","0.03","http://blog.octadesk.com/kit-planilhas-de-atendimento-ao-cliente/","0.41","0.00","0.24","550000","0.78,1.00,1.00,0.56,0.44,0.44,0.78,0.56,1.00,0.33,0.44,0.44","1509283673"
"melhorar atendimento ao cliente","4","4","90","64.27","0.00","https://blog.octadesk.com/gestao-de-processos-no-atendimento/","0.41","0.00","0.30","3120000","0.33,1.00,0.44,1.00,1.00,0.56,0.22,0.56,0.33,0.33,0.33,0.56","1513593242"
"sistema helpdesk","3","0","70","42.50","81.96","https://www.octadesk.com/funcionalidades/atendimento-ao-cliente","0.41","1.87","0.99","499000","0.78,0.78,0.78,0.78,0.33,0.56,0.78,1.00,0.78,1.00,0.78,0.78","1512437422"
"sistema de atendimento ao cliente","3","7","70","45.05","8.86","https://www.octadesk.com/","0.41","0.20","0.92","2190000","0.64,0.64,1.00,0.64,0.64,0.45,0.45,0.45,0.64,0.64,0.82,0.82","1512550311"
"processo de atendimento ao cliente","2","0","40","58.15","0.00","https://blog.octadesk.com/gestao-de-processos-no-atendimento/","0.34","0.00","0.07","9130000","0.57,0.71,0.71,1.00,0.71,0.14,0.14,0.29,0.43,0.43,1.00,0.71","1512609307"
"qualidade de atendimento ao cliente","7","0","140","51.59","3.03","https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/","0.34","0.05","0.13","12200000","0.52,0.67,0.81,1.00,1.00,0.52,0.67,0.43,0.52,0.33,0.43,0.52","1512439771"
"o que é help","8","0","170","62.70","0.00","https://blog.octadesk.com/diferencas-service-desk-e-help-desk/","0.34","0.00","0.03","28100000","0.24,0.36,0.82,0.36,0.19,0.55,0.30,0.12,0.19,0.19,1.00,0.55","1513131327"
"dicas para bom atendimento ao cliente","5","0","90","60.24","2.18","https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/","0.27","0.03","0.19","4920000","1.00,0.11,0.44,0.11,0.78,0.78,0.78,0.33,0.11,0.11,0.33,0.56","1513436226"
"qual a importancia do atendimento ao cliente","5","12","90","54.03","0.84","https://blog.octadesk.com/excelencia-no-atendimento-importancia/","0.27","0.01","0.25","403000","0.11,0.11,0.56,0.11,1.00,0.78,1.00,0.33,0.11,0.11,0.44,0.56","1513435035"
"qualidade atendimento","7","0","110","57.68","0.00","https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/","0.27","0.00","0.04","51900000","0.82,0.65,0.82,1.00,0.82,0.41,0.29,0.53,1.00,0.65,0.53,0.65","1512440283"
"importancia atendimento ao cliente","11","23","90","54.35","0.00","http://blog.octadesk.com/excelencia-no-atendimento-importancia/","0.27","0.00","0.25","400000","0.44,0.78,0.33,0.78,1.00,0.11,0.56,0.11,0.33,0.33,0.44,0.11","1509746706"
