Page score,Page trust score,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
33,35,Digital Hub - Plataforma de E-commerce baseada em Magento,http://www.digitalhub.com.br/,https://digitalhub.tomticket.com/kb,Base de Conhecimento,5,16,false,true,false,false,false,true,2017-03-15,2017-11-30,false,false
33,35,Digital Hub - Plataforma de E-commerce baseada em Magento,http://www.digitalhub.com.br/,https://digitalhub.tomticket.com/?account=610496P05032016114205,Suporte,5,16,false,true,false,false,false,true,2017-03-15,2017-11-30,false,false
30,7,TagPoint – Internet das Coisas,http://tagpoint.com.br/,https://tagpoint.tomticket.com/chat/?ac=737024P13072016034611&id=EP11516,SUPORTE,9,20,false,true,false,false,false,true,2016-10-18,2017-12-07,false,false
30,0,Via digital - Automação comercial,http://www.viadigital.info/,https://viadigital.tomticket.com/,Saiba mais,12,20,false,true,false,false,false,false,2017-08-12,2017-11-12,false,false
29,30,Alfa Consultoria,http://www.alfaconsultoria.digital/,https://alfaconsultoria.tomticket.com/,CONSULTAR CHAMADO,2,3,false,true,false,false,false,false,2017-06-11,2017-11-29,false,false
25,26,OrganizeTI - Soluções Tecnológica,http://www.organizeti.com.br/,https://organizeti.tomticket.com/?account=910272P06012017095741,Suporte,8,5,false,true,false,false,false,false,2017-09-12,2017-10-12,false,false
23,6,Criação de sites em Sorocaba | Otimização | MoralyWeb Solutions,http://www.moralyweb.com.br/,https://www.tomticket.com/chat/?ac=171520P20092014110136&id=EP02680,Atendimento Online,7,53,false,true,false,false,false,false,2017-04-07,2017-11-28,false,false
23,21,"BW Center - Fotografia de Joias, Lojas Virtuais",http://www.bwcenter.com.br/,https://bwcenter.tomticket.com/chat/index?ac=441216P11082017083604&id=EP06894,Suporte via Chat,8,3,false,true,false,false,false,false,2017-09-01,2017-12-02,false,false
23,21,"BW Center - Fotografia de Joias, Lojas Virtuais",http://www.bwcenter.com.br/,https://bwcenter.tomticket.com/,Suporte via Chamado,8,3,false,true,false,false,false,false,2017-09-01,2017-12-02,false,false
23,21,"BW Center - Fotografia de Joias, Lojas Virtuais",http://www.bwcenter.com.br/,https://bwcenter.tomticket.com/chat/geral?id=EP06894,Suporte via Chat,8,3,false,true,false,false,false,false,2017-09-01,2017-12-02,false,false
22,22,Prefeitura Municipal de Rio Grande da Serra – Lugar de gente feliz,http://www.riograndedaserra.sp.gov.br/,https://pmrgs.tomticket.com/helpdesk/login,,15,62,false,false,false,false,true,false,2017-01-10,2017-10-31,false,false
22,24,Byte On - Inicial,http://www.byteon.com.br/,https://byteon.tomticket.com/?account=1212864P21102017100941,Acessar,1,14,false,true,false,false,false,false,2017-10-24,2017-11-25,false,false
20,0,"Uvicon Vidraçaria - São Francisco do Sul SC - Vidros Temperados e Esquadrias de Alumínio, Vidraçaria, Vidraceiro",http://www.uviconvidros.com.br/,https://websc.tomticket.com/?account=532416P05122015044443,Painel,4,12,false,true,false,false,false,true,2017-05-12,2017-12-04,false,false
20,0,"Paternolli Indústria de Máquinas - Timbó SC - Fabricação, Venda e Manutenção de Máquinas e Ferramentas Especiais",http://www.paternolli.com.br/,https://websc.tomticket.com/?account=532416P05122015044443,Painel,3,18,false,true,false,false,false,true,2017-05-08,2017-11-30,false,false
20,10,Tecnosys Internet,http://www.tecnosys.net.br/,https://kb.tomticket.com/tecnosys,FAQ - PERGUNTAS FREQUENTES,3,18,false,true,false,false,false,false,2017-01-27,2017-11-14,false,false
20,10,Tecnosys Internet,http://www.tecnosys.net.br/,https://tecnosys.tomticket.com/?account=823744P29092016045049,ABRIR CHAMADO,3,18,false,true,false,false,false,false,2017-01-27,2017-11-14,false,false
