Domain score,Domain trust score,Domain,Backlinks,IP Address,Country,First seen,Last seen
3,27,bomprecopecas.com.br,21066,177.101.147.84,br,2017-06-22,2017-12-09
2,7,wobrasil.com.br,310,45.35.114.198,us,2017-01-23,2017-12-04
11,0,mswebcreation.com,210,191.252.132.43,br,2016-07-08,2017-11-20
14,19,ebras.bio.br,139,198.50.176.229,ca,2016-09-06,2017-12-05
2,0,aphesis.com.br,96,168.0.135.5,br,2017-09-22,2017-12-05
5,0,methodosambiental.com.br,91,198.27.116.232,br,2017-01-18,2017-12-07
8,1,wapandweb.com.br,90,186.202.190.8,br,2017-09-07,2017-12-05
3,0,newello.com.br,88,191.252.51.61,br,2017-08-01,2017-12-08
42,47,sytes.net,54,149.56.186.102,ca,2017-09-06,2017-12-08
17,32,uepa.br,47,177.74.2.66,br,2017-06-30,2017-12-05
2,0,construtoraquebec.com.br,46,104.156.60.240,us,2017-02-08,2017-12-06
0,0,lmi.inf.br,42,186.202.161.50,br,2017-11-24,2017-12-02
16,15,silbeck.com.br,38,187.102.40.23,br,2017-11-23,2017-12-05
11,11,mobiletech.com.br,33,177.185.192.138,br,2017-08-10,2017-12-09
4,2,divulgarmeunegocio.com.br,33,191.252.136.142,br,2017-09-11,2017-12-08
1,0,ionics.com.br,33,199.201.90.12,us,2017-04-01,2017-12-07
6,10,leosoft.com.br,30,187.17.111.105,br,2017-02-23,2017-12-06
45,52,rj.gov.br,26,189.126.205.19,br,2017-08-03,2017-11-02
1,0,educacaoonline.org.br,24,177.71.244.26,br,2017-08-27,2017-12-08
7,12,aesportiva.com.br,24,34.224.215.200,us,2017-01-22,2017-11-30
5,0,twsistemas.com.br,23,189.113.167.4,br,2017-08-16,2017-12-06
1,0,artefatosdecimentodonini.com.br,19,177.11.54.106,br,2017-10-01,2017-12-08
3,0,fminformaticaitapema.com.br,18,177.11.54.106,br,2017-08-18,2017-12-09
20,3,bwcenter.com.br,18,191.6.196.86,br,2017-09-01,2017-12-08
8,6,asteriks.com.br,18,187.45.240.63,br,2017-01-01,2017-11-26
1,0,nettcom.com.br,18,200.160.158.130,br,2017-09-15,2017-12-07
38,45,df.gov.br,17,200.98.173.129,br,2017-10-11,2017-12-08
