Keyword,Position,Previous Position,Search Volume,Keyword Difficulty Index,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp
"help desk","8","5","9900","51.62","48.62","https://www.tomticket.com/","17.45","18.73","0.87","461000000","0.67,0.82,0.67,0.82,0.67,0.55,0.67,0.67,1.00,0.82,0.82,0.82","1513601656"
"helpdesk","4","4","3600","53.98","103.89","https://www.tomticket.com/","14.80","33.96","0.84","51200000","1.00,1.00,1.00,1.00,1.00,0.81,0.81,0.81,1.00,1.00,1.00,1.00","1513520045"
"sistema de chamados free","2","2","480","58.38","56.83","https://www.tomticket.com/","3.64","4.60","0.88","1940000","0.19,0.30,0.67,0.30,0.24,0.19,0.24,1.00,0.67,0.67,0.36,0.10","1513222647"
"cnvw","27","0","33100","78.20","0.91","https://consorcionacionalvolkswagencnvw.tomticket.com/chat/geral?id=EP11047&balloon=1&ref=","2.87","0.05","0.07","77000","1.00,0.82,0.82,1.00,0.82,0.82,1.00,1.00,1.00,1.00,0.82,1.00","1513517535"
"sistema para abertura de chamados","1","1","90","53.00","2.41","https://www.tomticket.com/","2.46","0.13","0.79","809000","0.33,0.56,0.22,0.56,1.00,0.33,0.44,1.00,0.56,0.56,0.78,0.56","1513430224"
"controle de chamados free","1","2","90","57.77","21.08","https://www.tomticket.com/","2.46","1.15","0.82","1980000","0.71,0.14,0.57,0.14,1.00,0.43,1.00,0.43,0.71,0.71,0.71,0.14","1513464107"
"sistema de chamados","2","2","260","60.67","20.23","https://www.tomticket.com/","1.93","0.88","0.82","1990000","0.81,0.81,0.81,0.81,0.66,0.66,0.81,0.81,1.00,0.81,1.00,1.00","1513175209"
"ticket tom","1","1","70","53.07","0.00","https://www.tomticket.com/","1.88","0.00","0.00","77200000","0.11,0.78,0.22,0.78,1.00,0.44,1.00,0.44,0.22,0.22,0.11,0.78","1511329808"
"sistema de chamados online","1","1","70","42.90","9.48","https://www.tomticket.com/","1.88","0.40","0.95","2270000","0.56,0.56,0.22,0.56,0.11,1.00,0.44,1.00,0.22,0.22,0.56,0.22","1511193045"
"help desk ticket","1","1","70","51.70","181.03","https://www.tomticket.com/","1.88","7.72","0.79","7590000","1.00,1.00,0.44,1.00,0.11,0.22,0.78,0.22,0.44,0.44,1.00,0.22","1511170484"
"help desk online gratis","1","1","70","59.21","119.24","https://www.tomticket.com/","1.88","5.08","0.95","4570000","1.00,0.78,0.33,0.78,0.11,0.11,0.11,0.44,0.78,0.78,0.44,0.22","1511160241"
"tom tickets","1","1","70","38.99","0.00","https://www.tomticket.com/","1.88","0.00","0.01","61200000","0.44,1.00,0.33,1.00,1.00,0.22,0.56,0.22,0.44,0.44,0.44,0.22","1511362370"
