Page score,Page trust score,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
69,68,Consumidores – Ebit,https://ebit.zendesk.com/hc/pt-br/categories/200380179-Consumidores,https://www.zendesk.com.br/help-center/,Powered by Zendesk,9,18,false,true,false,false,false,false,2017-07-15,2017-11-13,false,false
62,64,Protegendo sua conta – Riot Games - Suporte ao Jogador,https://support.riotgames.com/hc/pt-br/articles/201751664-Protegendo-sua-conta,https://www.zendesk.com.br/help-center/,Powered by Zendesk,19,20,false,true,false,false,false,false,2017-05-19,2017-10-24,false,false
62,64,Protegendo sua conta – Riot Games - Suporte ao Jogador,https://support.riotgames.com/hc/pt-br/articles/201751664-Protegendo-sua-conta,https://www.zendesk.com.br/help-center/,Powered by Zendesk,14,3,false,true,false,false,false,false,2017-11-25,2017-11-25,true,false
50,52,E-Commerce Brasil - Artigos e Dicas sobre comércio eletrônico,https://www.ecommercebrasil.com.br/,https://www.zendesk.com.br/,Zendesk,91,474,false,true,false,false,false,true,2017-10-25,2017-11-25,false,false
50,52,E-Commerce Brasil - Artigos e Dicas sobre comércio eletrônico,https://www.ecommercebrasil.com.br/,https://www.zendesk.com.br/,,74,485,false,false,false,false,true,true,2017-03-01,2017-10-25,false,true
48,41,Help Center Closed | Zendesk,https://www.zendesk.com/help-center-closed/,https://www.zendesk.com.br/,Português,12,65,false,true,false,false,false,false,2017-10-14,2017-10-30,false,true
48,41,Help Center Closed | Zendesk,https://www.zendesk.com/help-center-closed/,https://www.zendesk.com.br/help-center-closed/,Português,12,65,false,true,false,false,false,false,2017-10-30,2017-10-30,false,false
45,44,Bondfaro - Fale Conosco,https://bondfaro.zendesk.com/hc/pt-br,https://www.zendesk.com.br/help-center/,Powered by Zendesk,5,13,false,true,false,false,false,false,2017-04-20,2017-11-08,false,false
44,41,Zendesk | Customer Service Software & Support Ticket System,https://www.zendesk.com/,https://www.zendesk.com.br/,Português,22,114,false,true,false,false,false,false,2017-04-06,2017-11-11,false,false
41,36,Logiciel de Service Client | Logiciel Helpdesk | Zendesk.fr,https://www.zendesk.fr/,https://www.zendesk.com.br/,Português,14,14,false,true,false,false,false,false,2015-05-01,2017-12-09,false,false
41,3,JOYA LIFE,https://joyalife.zendesk.com/hc/pt-br,https://www.zendesk.com.br/help-center/,Powered by Zendesk,5,19,false,true,false,false,false,false,2017-07-02,2017-11-21,false,true
38,37,Zendesk | Software de atención al cliente y sistema de tickets de soporte,https://www.zendesk.com.mx/,https://www.zendesk.com.br/,Português,28,93,false,true,false,false,false,true,2016-10-06,2017-11-27,false,false
38,37,Zendesk |​ ПО для обслуживания клиентов и система поддержки на основе тикетов,https://www.zendesk.com.ru/,https://www.zendesk.com.br/,Português,27,93,false,true,false,false,false,false,2016-09-12,2017-11-01,false,false
37,36,Ticketsystem | Help Desk Software | Zendesk.DE,https://www.zendesk.de/,https://www.zendesk.com.br/,Português,24,18,false,true,false,false,false,true,2016-01-07,2017-11-12,false,false
37,36,Zendesk | カスタマーサービスソフトウェア&サポートチケットシステム,https://www.zendesk.co.jp/,https://www.zendesk.com.br/,Português,27,93,false,true,false,false,false,false,2016-08-12,2017-10-19,false,false
37,36,Zendesk Italia,https://www.zendesk.it/,https://www.zendesk.com.br/,Português,16,8,false,true,false,false,false,true,2016-01-07,2017-11-11,false,false
37,36,Zendesk | Software voor een betere klantenservice,https://www.zendesk.nl/,https://www.zendesk.com.br/,Português,16,9,false,true,false,false,false,true,2016-01-07,2017-12-07,false,false
37,36,Zendesk Español,https://www.zendesk.es/,https://www.zendesk.com.br/,Português,14,14,false,true,false,false,false,false,2015-05-01,2017-12-04,false,false
36,36,Zendesk | 고객 서비스 소프트웨어 및 지원 티켓 시스템,https://www.zendesk.kr/,https://www.zendesk.com.br/,Português,29,90,false,true,false,false,false,false,2017-05-10,2017-11-28,false,false
36,38,Riot Games - Suporte ao Jogador,https://support.riotgames.com/hc/pt-br,https://www.zendesk.com.br/help-center/,Powered by Zendesk,14,3,false,true,false,false,false,false,2017-12-01,2017-12-01,true,false
36,38,Riot Games - Suporte ao Jogador,https://support.riotgames.com/hc/pt-br,https://www.zendesk.com.br/help-center/,Powered by Zendesk,16,45,false,true,false,false,false,false,2016-08-31,2017-10-09,false,false
35,37,ページが見つかりません | Zendesk,https://www.zendesk.co.jp/terms-of-service,https://www.zendesk.com.br/,Português,27,84,false,true,false,false,false,false,2017-11-20,2017-11-20,true,false
35,27,Centre d’aide fermé | Zendesk,https://www.zendesk.fr/help-center-closed/,https://www.zendesk.com.br/,Português,20,88,false,true,false,false,false,false,2017-11-18,2017-12-03,true,false
35,27,客服中心已關閉 | Zendesk,https://www.zendesk.hk/help-center-closed/,https://www.zendesk.com.br/,Português,21,82,false,true,false,false,false,false,2017-11-13,2017-11-13,true,false
35,27,헬프 센터 운영 종료 | Zendesk,https://www.zendesk.kr/help-center-closed/,https://www.zendesk.com.br/,Português,20,88,false,true,false,false,false,false,2017-11-18,2017-11-18,true,false
35,27,ヘルプセンター終了 | Zendesk,https://www.zendesk.co.jp/help-center-closed/,https://www.zendesk.com.br/,Português,20,89,false,true,false,false,false,false,2017-11-20,2017-11-20,true,false
34,33,Centro de Ajuda,https://connectamericas.zendesk.com/hc/pt-br,https://www.zendesk.com.br/help-center/,Powered by Zendesk,5,52,false,true,false,false,false,false,2017-04-20,2017-11-06,false,false
33,35,Central de Ajuda - Eventials,http://suporte.eventials.com/hc/pt-br,https://www.zendesk.com.br/help-center/,Powered by Zendesk,4,34,false,true,false,false,false,false,2016-12-03,2017-11-17,false,true
33,33,Zendesk | 客戶服務軟體和支援工單系統,https://www.zendesk.tw/,https://www.zendesk.com.br/,Português,28,96,false,true,false,false,false,true,2017-08-03,2017-12-02,false,false
33,33,Zendesk | 客戶服務軟體和支援工單系統,https://www.zendesk.hk/,https://www.zendesk.com.br/,Português,28,96,false,true,false,false,false,false,2017-08-10,2017-11-08,false,false
32,34,DÚVIDAS FREQUENTES,https://vakinha.zendesk.com/hc/pt-br,https://www.zendesk.com.br/help-center/,Powered by Zendesk,1,47,false,true,false,false,false,true,2017-04-13,2017-11-04,false,false
31,33,Chat | Zendesk,https://www.zendesk.com/blog/tags/zendesk-chat/,https://www.zendesk.com.br/,Português,20,130,false,true,false,false,false,false,2017-04-12,2017-11-16,false,false
29,31,Prêmio E-Commerce Brasil 2017 | E-Commerce Brasil,http://www.premioecommercebrasil.com.br/,https://www.zendesk.com.br/,,67,15,false,false,false,false,true,false,2017-07-05,2017-12-06,false,false
28,29,Customers and Partners | Zendesk,https://www.zendesk.com/company/customers-partners/,https://www.zendesk.com.br/company/customers-partners/,Português,21,107,false,true,false,false,false,false,2017-11-01,2017-11-01,false,false
28,29,Customers and Partners | Zendesk,https://www.zendesk.com/company/customers-partners/,https://www.zendesk.com.br/,Português,34,153,false,true,false,false,false,false,2017-04-12,2017-11-01,false,true
28,29,Central de Ajuda,https://support.wildtangent.com/hc/pt,https://www.zendesk.com.br/help-center/,Powered by Zendesk,7,19,false,true,false,false,false,false,2016-12-06,2017-09-30,false,false
27,29,Live Chat Software with Zendesk Chat,https://www.zendesk.com/chat/,https://www.zendesk.com.br/chat/,Português,22,107,false,true,false,false,false,false,2017-11-01,2017-11-01,false,false
27,29,Live Chat Software with Zendesk Chat,https://www.zendesk.com/chat/,https://www.zendesk.com.br/,Português,21,108,false,true,false,false,false,false,2017-05-30,2017-11-01,false,true
27,29,The Zendesk Partner Difference - Our Reseller Program,https://www.zendesk.com/partner/,https://www.zendesk.com.br/,Português,22,96,false,true,false,false,false,false,2017-04-12,2017-10-17,false,false
27,28,Cookie Policy | Zendesk,https://www.zendesk.com/company/customers-partners/cookie-policy/,https://www.zendesk.com.br/,Português,25,109,false,true,false,false,false,false,2017-06-24,2017-11-06,false,true
27,28,Cookie Policy | Zendesk,https://www.zendesk.com/company/customers-partners/cookie-policy/,https://www.zendesk.com.br/company/customers-partners/cookie-policy/,Português,27,110,false,true,false,false,false,false,2017-11-06,2017-11-06,false,false
27,28,Terms of Use | Zendesk,https://www.zendesk.com/company/customers-partners/terms-of-use/,https://www.zendesk.com.br/,Português,19,111,false,true,false,false,false,false,2017-06-09,2017-10-14,false,false
26,28,Reseller Terms of Service | Zendesk,https://www.zendesk.com/company/customers-partners/reseller-terms-of-service/,https://www.zendesk.com.br/company/customers-partners/reseller-terms-of-service/,Português,24,144,false,true,false,false,false,false,2017-12-02,2017-12-02,true,false
26,28,Reseller Terms of Service | Zendesk,https://www.zendesk.com/company/customers-partners/reseller-terms-of-service/,https://www.zendesk.com.br/,Português,20,117,false,true,false,false,false,false,2017-06-18,2017-10-20,false,false
26,28,Referral Partner Agreement | Zendesk,https://www.zendesk.com/company/customers-partners/referral-partner-agreement/,https://www.zendesk.com.br/,Português,19,110,false,true,false,false,false,false,2017-06-16,2017-10-02,false,false
26,28,Referral Partner Agreement | Zendesk,https://www.zendesk.com/company/customers-partners/referral-partner-agreement/,https://www.zendesk.com.br/company/customers-partners/referral-partner-agreement/,Português,21,113,false,true,false,false,false,false,2017-12-02,2017-12-02,true,false
26,28,Page not found | Zendesk,https://www.zendesk.com/company/trademark-property/DMCA/,https://www.zendesk.com.br/,Português,20,97,false,true,false,false,false,false,2017-11-03,2017-11-03,false,false
26,28,Master Subscription Agreement | Zendesk,https://www.zendesk.com/company/customers-partners/master-subscription-agreement/,https://www.zendesk.com.br/,Português,23,120,false,true,false,false,false,false,2017-07-09,2017-09-21,false,false
26,28,"E aí, quer uma ajuda?",https://mundipagg.zendesk.com/hc/pt-br,https://www.zendesk.com.br/help-center/,Powered by Zendesk,1,8,false,true,false,false,false,false,2017-06-29,2017-09-28,false,false
26,28,Guided Demo of Zendesk Chat | Zendesk,https://www.zendesk.com/resources/guided-demo-zendesk-chat/,https://www.zendesk.com.br/,Português,20,118,false,true,false,false,false,false,2017-06-29,2017-10-31,false,false
26,28,Policies and Procedures | Zendesk,https://www.zendesk.com/company/policies-procedures/,https://www.zendesk.com.br/company/policies-procedures/,Português,21,104,false,true,false,false,false,false,2017-10-29,2017-10-29,false,false
26,28,Policies and Procedures | Zendesk,https://www.zendesk.com/company/policies-procedures/,https://www.zendesk.com.br/,Português,19,103,false,true,false,false,false,false,2017-05-07,2017-10-29,false,true
25,23,Jobs | Zendesk,https://www.zendesk.com/jobs/,https://www.zendesk.com.br/,Português,20,110,false,true,false,false,false,false,2017-04-12,2017-11-01,false,true
25,23,Jobs | Zendesk,https://www.zendesk.com/jobs/,https://www.zendesk.com.br/jobs/,Português,22,112,false,true,false,false,false,false,2017-11-01,2017-11-19,false,false
25,4,EDUMOBI,https://edumobi.zendesk.com/hc/pt-br,https://www.zendesk.com.br/help-center/,Powered by Zendesk,3,41,false,true,false,false,false,true,2017-05-05,2017-11-06,false,false
24,27,Customer Service Resources | Zendesk,https://www.zendesk.com/resources/,https://www.zendesk.com.br/,Português,19,815,false,true,false,false,false,false,2017-05-23,2017-09-11,false,false
23,3,Central de Atendimento,https://shoppinguol.zendesk.com/hc/pt-br,https://www.zendesk.com.br/help-center/,Powered by Zendesk,5,10,false,true,false,false,false,false,2017-10-24,2017-11-22,false,true
23,25,Call Center Software with Zendesk Talk,https://www.zendesk.com/talk/,https://www.zendesk.com.br/,Português,19,105,false,true,false,false,false,false,2017-05-23,2017-09-14,false,false
23,18,Central de atendimento,https://gbdhelp.zendesk.com/hc/pt-br,https://www.zendesk.com.br/help-center/,Powered by Zendesk,1,19,false,true,false,false,false,false,2017-04-28,2017-11-21,false,true
