"Internal - All"
"Address","Content","Status Code","Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","Meta Refresh 1","Canonical Link Element 1","Size","Word Count","Text Ratio","Crawl Depth","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Hash","Response Time","Last Modified","Redirect URI","Redirect Type","URL Encoded Address"
"http://zendesk.com.br/","","301","Moved Permanently","","0","0","","0","0","","0","","0","","0","","0","","0","","","","0","0","0.0","0","0","0","0.0","0","0","0","0","","0.019","","https://www.zendesk.com.br/","HTTP Redirect","http://zendesk.com.br/"
"https://www.zendesk.com.br/","text/html; charset=utf-8","200","OK","Zendesk | Software de atendimento ao cliente e sistema de tickets de suporte","76","618","Software de atendimento ao cliente e sistema de tickets de suporte da Zendesk. Solução de central de suporte baseada na nuvem, utilizada por mais de 200.000 organizações no mundo todo. Avaliação grátis de 30 dias.","213","1270","","0","Podemos dar uma mãozinha","24","","0","A família Zendesk","17","Nossa plataforma","16","","","https://www.zendesk.com.br/","45511","628","9.265891","1","543","171","100.0","93","53","29","27","bdd850f36220c5a82ba1b2e4255db6f9","0.021","Mon, 11 Dec 2017 19:11:00 GMT","","","https://www.zendesk.com.br/"
"https://www.zendesk.com.br/about/","text/html; charset=utf-8","200","OK","Sobre | Zendesk","15","133","","0","0","","0","Conheça a Zendesk","17","","0","A família Zendesk","17","Nossa plataforma","16","","","https://www.zendesk.com.br/about/","37831","745","13.005207","2","511","169","98.83","85","54","28","25","9312480b6efe2e245894d479f493d1bf","0.025","Wed, 13 Dec 2017 00:14:43 GMT","","","https://www.zendesk.com.br/about/"
"https://www.zendesk.com.br/help-center/","text/html","301","Moved Permanently","","0","0","","0","0","","0","","0","","0","","0","","0","","","","178","0","0.0","2","140","138","80.7","0","0","0","0","","0.41","","http://www.zendesk.com.br/guide/","HTTP Redirect","https://www.zendesk.com.br/help-center/"
"https://www.zendesk.com.br/product/tech-specs/","text/html; charset=utf-8","200","OK","Especificações técnicas | Zendesk","33","276","","0","0","","0","Especificações técnicas","23","","0","A família Zendesk","17","Nossa plataforma","16","","","https://www.zendesk.com.br/product/tech-specs/","173546","8074","31.563965","2","173","169","98.83","93","57","167","126","541c9577acd309203e717cb6eb3e17fc","0.128","Thu, 14 Dec 2017 23:13:25 GMT","","","https://www.zendesk.com.br/product/tech-specs/"
"https://www.zendesk.com.br/help-desk-software/features/ticketing-system/","text/html; charset=utf-8","200","OK","Líder em software e sistema de tickets | Zendesk","48","391","Customer service can be messy. Get organized with a ticketing system that turns all support requests, from both customers and employees, into tickets.","150","885","","0","Atendimento ao cliente coerente: o sistema de gerenciamento de tickets","70","","0","A família Zendesk","17","Nossa plataforma","16","","","https://www.zendesk.com.br/help-desk-software/features/ticketing-system/","44448","1419","20.99307","2","177","169","98.83","114","71","31","29","8fd33101e4336d34dc39e0669b80af35","0.022","Fri, 15 Dec 2017 20:47:54 GMT","","","https://www.zendesk.com.br/help-desk-software/features/ticketing-system/"
"https://www.zendesk.com.br/company/customers-partners/terms-of-use/","text/html; charset=utf-8","200","OK","Terms of Use | Zendesk","22","193","","0","0","","0","Departamento legal da Zendesk","29","","0","A família Zendesk","17","Nossa plataforma","16","","","https://www.zendesk.com.br/company/customers-partners/terms-of-use/","61321","3625","39.521534","2","181","169","98.83","99","63","28","25","a1cf09165e671698b7f739d14d856ffc","0.033","Wed, 13 Dec 2017 00:14:43 GMT","","","https://www.zendesk.com.br/company/customers-partners/terms-of-use/"
"https://www.zendesk.com.br/register/","text/html; charset=utf-8","200","OK","Cadastro | Zendesk","18","158","","0","0","","0","Vamos começar","13","Fale um pouco sobre sua empresa","31","","0","","0","","","https://www.zendesk.com.br/register/","52151","1145","14.816589","2","500","170","99.42","35","5","0","0","29de049b03bfd32ae366865b972123f7","0.018","Mon, 11 Dec 2017 19:11:00 GMT","","","https://www.zendesk.com.br/register/"
"https://www.zendesk.com.br/company/privacy/","text/html","301","Moved Permanently","","0","0","","0","0","","0","","0","","0","","0","","0","","","","178","0","0.0","3","13","2","1.17","0","0","0","0","","0.014","","http://www.zendesk.com.br/company/customers-partners/privacy-policy","HTTP Redirect","https://www.zendesk.com.br/company/privacy/"
"https://www.zendesk.com.br/support/features/incident-ticket-system/","text/html; charset=utf-8","200","OK","Incident Ticket System | Zendesk","32","265","The right incident ticket system will put an end to your ticketing troubles. Learn how Zendesk Support's agile system makes it easy to resolve tickets. Get started with a free trial of Zendesk today and begin setting up macros, triggers, and automations to efficiently route tickets to the right place at the right time.","320","1796","","0","Incident ticket system","22","","0","A família Zendesk","17","Nossa plataforma","16","","","https://www.zendesk.com.br/support/features/incident-ticket-system/","39773","778","12.842883","3","5","2","1.17","106","68","31","29","192dea4cd1eadf1432f3c6ed3091edcd","0.025","","","","https://www.zendesk.com.br/support/features/incident-ticket-system/"
