Keyword,Position,Previous Position,Search Volume,Keyword Difficulty Index,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp
"zendesk","1","1","5400","72.46","71.86","https://www.zendesk.com.br/","41.88","89.95","0.41","9040000","0.67,0.67,0.67,0.67,0.67,0.55,0.67,0.67,1.00,0.82,0.82,1.00","1513514648"
"chat alternative","11","11","12100","55.02","0.91","https://www.zendesk.com.br/chat/details/pure-chat-alternative/","5.50","0.15","0.45","41000000","0.07,1.00,0.45,1.00,1.00,0.16,0.16,0.37,0.55,0.55,0.55,0.16","1513608427"
"animoto","11","10","40500","78.72","0.06","https://www.zendesk.com.br/customer/animoto/","3.68","0.00","0.05","2360000","0.30,0.45,1.00,0.45,0.37,0.30,0.37,0.16,1.00,1.00,0.55,0.24","1513605330"
"zoosk","11","12","27100","79.59","0.06","https://www.zendesk.com.br/customer/zoosk/","2.46","0.00","0.13","0","0.67,0.82,0.82,0.82,0.82,0.82,1.00,0.82,0.82,0.82,0.82,1.00","1513537570"
"prezi","23","22","165000","81.34","0.06","https://www.zendesk.com.br/customer/prezi/","2.39","0.00","0.12","36700000","0.45,0.05,0.11,0.45,0.37,0.67,0.37,0.16,0.25,0.25,0.20,1.00","1513571072"
"zen desk","1","1","210","72.89","41.61","https://www.zendesk.com.br/","1.62","2.02","0.72","5120000","1.00,0.19,0.12,0.55,0.12,0.55,0.19,0.16,0.36,0.55,0.55,1.00","1513336876"
"demo","10","9","5400","57.30","0.00","https://www.zendesk.com.br/demo/","1.57","0.00","0.00","195000000","0.04,0.05,0.02,0.05,1.00,0.20,0.37,0.82,0.55,0.55,0.67,0.37","1513523798"
"zendesk login","1","1","320","47.04","11.40","https://www.zendesk.com.br/login/","1.45","0.49","0.15","585000","0.24,0.24,1.00,0.24,0.29,0.15,0.29,0.67,0.44,0.44,0.54,1.00","1511614035"
"entrar","44","31","450000","76.44","0.45","https://www.zendesk.com.br/login/","1.30","0.01","0.00","209000000","0.82,0.82,0.82,0.82,0.82,0.67,0.67,0.67,1.00,0.82,1.00,1.00","1513543317"
"skyscanner","16","15","135000","80.20","0.74","https://www.zendesk.com.br/customer/skyscanner/","1.30","0.02","0.01","0","0.55,0.55,0.55,0.55,0.67,0.67,0.82,0.67,0.82,0.82,1.00,1.00","1513601421"
"groupon","34","31","1220000","84.21","0.13","https://www.zendesk.com.br/customer/groupon/","1.18","0.00","0.15","21700000","0.81,0.81,0.81,0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.81,0.81","1513532962"
"inbox","27","28","60500","66.72","0.09","https://www.zendesk.com.br/inbox/","0.87","0.00","0.12","158000000","0.67,0.67,0.67,0.82,1.00,0.82,0.82,0.82,0.82,0.82,0.82,0.82","1513515931"
"swiftkey","29","27","60500","85.75","0.61","https://www.zendesk.com.br/customer/swiftkey/","0.87","0.01","0.00","727000","0.13,0.82,0.37,0.82,0.37,0.13,1.00,0.25,0.37,0.37,0.67,0.55","1513594621"
"sistema de tickets","1","1","170","42.93","54.94","https://www.zendesk.com.br/help-desk-software/features/ticketing-system/","0.76","1.27","0.92","1170000","0.24,0.36,0.24,1.00,0.24,0.12,0.16,0.30,0.67,0.44,0.44,0.82","1513349082"
"zendesl","1","1","90","72.03","9.02","https://www.zendesk.com.br/","0.69","0.18","0.48","9050000","0.33,0.56,0.22,0.56,1.00,0.33,0.44,1.00,0.56,0.56,0.78,0.56","1513420814"
"zendeks","1","1","90","70.87","7.46","https://www.zendesk.com.br/","0.69","0.15","0.51","9010000","0.71,1.00,0.29,1.00,1.00,0.14,0.57,0.14,0.43,0.43,0.71,0.14","1513445296"
"prezy","11","0","1300","80.34","0.06","https://www.zendesk.com.br/customer/prezi/","0.59","0.00","0.12","38500000","1.00,0.02,0.04,0.02,0.67,0.24,0.82,0.36,0.07,0.55,0.67,0.20","1511130301"
"central rh","11","44","1300","67.90","0.00","https://www.zendesk.com.br/internal-help-desk/hr-help-desk-software/","0.59","0.00","0.01","383000000","0.68,0.68,0.68,0.68,0.53,0.46,1.00,0.53,0.68,0.68,0.68,0.68","1511605207"
"grupon","25","34","201000","83.06","0.13","https://www.zendesk.com.br/customer/groupon/","0.58","0.00","0.14","54200000","0.82,0.82,0.82,0.82,0.82,0.82,1.00,0.82,0.82,0.82,0.82,0.82","1513599077"
"zenddesk","1","1","70","72.74","14.24","https://www.zendesk.com.br/","0.54","0.23","0.58","9070000","1.00,1.00,0.44,1.00,0.11,0.22,0.78,0.22,0.44,0.44,1.00,0.22","1511150268"
"zendesk free plan","1","1","90","53.70","0.00","https://www.zendesk.com.br/product/pricing/","0.40","0.00","0.86","2260000","0.14,0.14,0.29,0.71,0.14,0.43,0.57,0.14,0.71,0.14,1.00,0.71","1513480525"
"zendesk voice pricing","1","1","90","33.48","36.95","https://www.zendesk.com.br/talk/pricing/","0.40","0.45","0.19","460000","0.11,0.56,0.11,0.56,1.00,0.33,1.00,0.33,0.11,0.11,0.11,0.56","1513420884"
"inbound call center software","1","3","90","24.12","0.00","https://www.zendesk.com.br/talk/features/inbound-call-center/","0.40","0.00","0.63","7600000","0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.56","1509741519"
"zendesk account","1","2","90","53.73","0.00","https://www.zendesk.com.br/register/","0.40","0.00","0.36","830000","0.14,0.14,0.57,0.14,1.00,0.14,0.14,0.43,0.71,0.71,0.14,0.14","1513470073"
"zendesk address","1","1","90","75.72","0.00","https://www.zendesk.com.br/contact/","0.40","0.00","0.00","6960000","0.33,0.11,0.11,1.00,1.00,0.11,0.22,0.56,0.33,0.33,0.33,0.11","1513478595"
"it ticketing system software","1","0","90","51.57","0.00","https://www.zendesk.com.br/help-desk-software/features/ticketing-system/","0.40","0.00","0.00","67700000","0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.11","1509735418"
"zendesk com pricing","1","1","90","52.44","0.00","https://www.zendesk.com.br/product/pricing/","0.40","0.00","0.00","480000","0.43,0.14,0.29,0.14,1.00,0.14,0.14,0.14,0.14,0.43,0.14,0.14","1513485362"
"zendesk open source","1","1","90","43.05","5.27","https://www.zendesk.com.br/help-desk-software/features/open-source-help-desk/","0.40","0.06","0.78","438000","0.43,1.00,0.29,1.00,1.00,0.14,0.57,0.14,0.43,0.43,0.43,0.14","1513424342"
"online ticketing system free","1","2","90","30.18","0.00","https://www.zendesk.com.br/support/features/free-online-ticketing-system/","0.40","0.00","0.00","16100000","0.22,0.11,0.11,1.00,0.78,0.56,0.11,0.11,0.33,0.11,0.22,0.11","1513593737"
"hosted helpdesk","1","2","90","23.97","0.00","https://www.zendesk.com.br/help-desk-software/features/hosted-help-desk/","0.40","0.00","0.00","21400000","0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,1.00,0.20,0.20","1509750429"
"it support ticket system","1","0","90","51.06","0.00","https://www.zendesk.com.br/help-desk-software/features/ticketing-system/","0.40","0.00","0.00","23400000","1.00,0.11,0.11,1.00,0.11,0.56,0.11,0.11,0.11,0.11,0.11,0.11","1509732623"
"powered by zendesk","1","2","90","56.04","0.00","https://www.zendesk.com.br/guide/","0.40","0.00","0.57","714000","0.11,0.11,0.11,0.11,1.00,0.33,1.00,0.33,0.56,0.56,0.78,0.11","1513560278"
"simple ticketing system","1","1","90","51.42","0.00","https://www.zendesk.com.br/support/features/simple-ticket-system/","0.40","0.00","0.00","12400000","0.11,0.56,0.11,0.56,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11","1511185157"
"zendesk com","1","1","90","76.36","5.89","https://www.zendesk.com.br/","0.40","0.07","0.52","9070000","0.71,0.14,0.57,0.14,1.00,0.43,1.00,0.43,0.71,0.71,0.71,0.14","1513428982"
