	keyword	Position	volume	difficulty	CPC	Competition	Backlinks	Domains	length_title	length_description	length_headline	Size	word_count	text_ratio	Inlinks	Outlinks	external_outlinks	url_score	url_trust	avg_backlink_score	avg_backlink_trust	competitor	type
2	sistema de chamados free	2	480	58.38	56.83	0.88	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
4	sistema para abertura de chamados	1	90	53.0	2.41	0.79	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
5	controle de chamados free	1	90	57.77	21.08	0.82	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
6	sistema de chamados	2	260	60.67	20.23	0.82	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
7	ticket tom	1	70	53.07	0.0	0.0	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
8	sistema de chamados online	1	70	42.9	9.48	0.95	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
9	help desk ticket	1	70	51.7	181.03	0.79	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
10	help desk online gratis	1	70	59.21	119.24	0.95	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
11	tom tickets	1	70	38.99	0.0	0.01	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
12	servicedesk online	1	70	39.54	0.0	0.67	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
14	help desk online	1	50	45.34	40.11	0.88	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
15	sistema de ticket	1	50	54.91	18.05	0.7	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
19	sistema de tickets	3	170	42.93	54.94	0.92	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
20	sistema help desk	2	110	37.47	69.48	0.99	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
21	sistema atendimento online	1	30	35.94	4.98	0.96	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
22	helpdesk online	1	30	44.84	27.92	0.97	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
23	sistema de help desk	2	110	28.81	139.54	0.99	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
25	sistema de controle de chamados	2	90	39.79	3.84	0.9	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
26	sistema de chamados gratuito	2	90	49.32	44.38	0.79	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
29	ticket tom	2	70	53.07	0.0	0.0	2085.254464285714	12.008928571428571	58.389380530973455	162.00653594771242	35.00653594771242	39013.64705882353	943.875816993464	15.3314386372549	171.9607843137255	75.33333333333333	22.49673202614379	9.0	9.0	1.0	0.0	tomticket	top_ranking
30	sistema de chamados online	2	70	42.9	9.48	0.95	0.0	0.0	84.0	157.0	19.0	21336.0	149.0	4.640045	17.0	28.0	9.0	11.79020979020979	12.321678321678322	31.272120466490453	32.013206820940425	tomticket	top_ranking
31	help desk sistema	2	70	42.09	8.4	0.95	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
32	sistema de helpdesk	2	70	37.84	89.65	0.99	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	top_ranking
