	keyword	Position	volume	difficulty	CPC	Url	Competition	title	Backlinks	Domains	length_title	length_description	length_headline	Size	word_count	text_ratio	Inlinks	Outlinks	external_outlinks	url_score	url_trust	avg_backlink_score	avg_backlink_trust	competitor	type
0	help desk	5	9900	51.62	48.62	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	0.87				72.0	146.0	8.0	67714.0	1729.0	16.277282999999997	23.0	57.0	5.0					octadesk	first_page
3	qualidade no atendimento	7	1600	60.85	0.87	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	0.08				63.0	151.0	8.0	94029.0	4469.0	30.293846000000002	13.0	64.0	5.0					octadesk	first_page
4	bom atendimento	11	1300	64.51	1.66	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	0.03				70.0	138.0	8.0	74110.0	2183.0	18.704628	9.0	60.0	8.0					octadesk	second_page
5	qualidade no atendimento ao cliente	6	1000	56.79	2.11	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	0.07				63.0	151.0	8.0	94029.0	4469.0	30.293846000000002	13.0	64.0	5.0					octadesk	first_page
8	service desk	12	2900	50.1	25.45	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	0.86				72.0	146.0	8.0	67714.0	1729.0	16.277282999999997	23.0	57.0	5.0					octadesk	second_page
11	helpdesk	14	3600	53.54	103.89	https://www.octadesk.com/	0.84	Help Desk e sistema de atendimento ao cliente Octadesk	20.0	13.0	54.0	121.0	105.0	30577.0	434.0	9.428656	393.0	2.0	5.0	10.0	10.0	24.545454545454547	34.18181818181818	octadesk	second_page
38	o que é o outubro rosa	10	720	60.08	1.75	https://blog.octadesk.com/outubro-rosa/	0.17																	octadesk	first_page
39	solaser	12	6600	65.96	0.06	https://solaser.octadesk.com/helpcenter	0.06													1.0	3.0			octadesk	second_page
329	dicas para um bom atendimento	5	320	59.13	0.48	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	0.04				70.0	138.0	8.0	74110.0	2183.0	18.704628	9.0	60.0	8.0					octadesk	first_page
332	movimento outubro rosa	7	320	59.07	0.0	https://blog.octadesk.com/outubro-rosa/	0.06																	octadesk	first_page
335	como melhorar o atendimento ao cliente	4	140	66.3	1.85	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	0.26				67.0	151.0	8.0	74036.0	2543.0	22.54984	28.0	52.0	5.0					octadesk	first_page
366	porque outubro rosa	9	260	52.78	0.0	https://blog.octadesk.com/outubro-rosa/	0.04																	octadesk	first_page
367	fluxograma de atendimento ao cliente	6	140	59.49	7.36	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	0.15				67.0	151.0	8.0	74036.0	2543.0	22.54984	28.0	52.0	5.0					octadesk	first_page
368	bom atendimento ao cliente	12	590	59.57	2.11	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	0.07				70.0	138.0	8.0	74110.0	2183.0	18.704628	9.0	60.0	8.0					octadesk	second_page
369	controle de chamados	4	110	33.07	3.51	https://blog.octadesk.com/planilha-de-controle-de-chamados/	0.69																	octadesk	first_page
370	help desk as a service	4	90	51.38	0.0	http://blog.octadesk.com/diferencas-service-desk-e-help-desk/	0.0																	octadesk	first_page
371	gestão do atendimento	4	90	55.78	0.0	http://blog.octadesk.com/gestao-de-processos-no-atendimento/	0.27																	octadesk	first_page
