	keyword	Position	volume	Competition	Url	Inlinks
0	help desk	5	9900	0.87	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
3	qualidade no atendimento	7	1600	0.08	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
4	bom atendimento	11	1300	0.03	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	9.0
5	qualidade no atendimento ao cliente	6	1000	0.07	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
8	service desk	12	2900	0.86	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
329	dicas para um bom atendimento	5	320	0.04	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	9.0
335	como melhorar o atendimento ao cliente	4	140	0.26	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
367	fluxograma de atendimento ao cliente	6	140	0.15	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
368	bom atendimento ao cliente	12	590	0.07	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	9.0
373	melhorar atendimento ao cliente	4	90	0.3	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
401	qualidade de atendimento ao cliente	7	140	0.13	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
402	o que é help	8	170	0.03	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
403	dicas para bom atendimento ao cliente	5	90	0.19	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	9.0
404	qual a importancia do atendimento ao cliente	5	90	0.25	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	24.0
405	qualidade atendimento	7	110	0.04	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
433	profissional de atendimento ao cliente	4	70	0.23	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	7.0
434	service desk ou help desk	5	90	0.46	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
435	service desk help	4	70	0.29	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
