	keyword	Position	volume	Competition	Url	text_ratio
11	helpdesk	14	3600	0.84	https://www.octadesk.com/	9.428656
408	service desk logo	6	90	0.17	https://www.octadesk.com/	9.428656
433	profissional de atendimento ao cliente	4	70	0.23	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	9.864187
438	sistem helpdesk	4	70	0.0	https://www.octadesk.com/	9.428656
465	sistema de help desk	7	110	0.99	https://www.octadesk.com/	9.428656
494	sistema help desk	8	110	0.99	https://www.octadesk.com/	9.428656
522	helpdesck	10	110	0.63	https://www.octadesk.com/	9.428656
549	perfil de um bom profissional	9	110	0.02	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	9.864187
550	rodrigo ricco	18	1300	0.0	https://blog.octadesk.com/epoca-negocios-rodrigo-ricco/	5.6271877
551	sistema de help desk	8	110	0.99	https://www.octadesk.com/help-desk	10.377274
552	sistema de help desk	9	110	0.99	https://www.octadesk.com/funcionalidades/atendimento-ao-cliente	9.466515
560	help desk sistema	7	70	0.95	https://www.octadesk.com/	9.428656
588	heldesk	5	50	0.85	https://www.octadesk.com/	9.428656
615	sistema de helpdesk	8	70	0.99	https://www.octadesk.com/	9.428656
640	sistema de helpdesk	9	70	0.99	https://www.octadesk.com/funcionalidades/atendimento-ao-cliente	9.466515
652	help desk online	10	50	0.88	https://www.octadesk.com/	9.428656
678	helpdek	11	30	0.6	https://www.octadesk.com/	9.428656
712	help disk	6	20	0.63	https://www.octadesk.com/	9.428656
744	relp desk	6	30	0.9	https://www.octadesk.com/	9.428656
770	help desc	6	20	0.87	https://www.octadesk.com/	9.428656
804	chat helpdesk	26	70	0.52	https://www.octadesk.com/	9.428656
833	vagas de atendimento ao cliente	82	90	0.39	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	9.864187
852	como ser um bom profissional	91	880	0.06	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	9.864187
854	help desk gratis	27	20	0.92	https://www.octadesk.com/	9.428656
881	depois de octa vem o que	81	90	0.0	https://blog.octadesk.com/	8.955591
887	oq é atendimento ao cliente	61	90	0.2	https://www.octadesk.com/	9.428656
913	pop atendimento ao cliente	19	90	0.24	https://blog.octadesk.com/o-sac-nunca-foi-tao-pop/	5.754739
914	sinonimo de suporte	81	260	0.0	https://blog.octadesk.com/saiba-porque-sua-equipe-de-atendimento-nao-atende-bem/	9.44706
920	chat online para sites	56	30	0.95	https://blog.octadesk.com/chat-octadesk-canal-de-atendimento-online/	9.881111
921	sla service desk	82	70	0.62	https://www.octadesk.com/help-desk	10.377274
930	principais qualidades de um profissional	36	90	0.05	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	9.864187
933	perguntas de atendimento ao cliente	19	70	0.33	https://blog.octadesk.com/13-maneiras-rapidas-para-verificar-se-sua-empresa-tem-um-problema-de-atendimento-ao-cliente/	8.306014999999999
935	desk to desk	60	90	0.0	https://www.octadesk.com/	9.428656
965	o que é diferença	72	880	0.0	https://blog.octadesk.com/diferenca-omnichannel-multichannel/	13.860016
974	help desk free	75	170	0.91	https://www.octadesk.com/	9.428656
1008	e commerce news	83	480	0.17	https://blog.octadesk.com/e-commerce-news/	4.705604599999999
1009	planilha controle clientes	45	20	0.44	https://blog.octadesk.com/kit-planilhas-de-atendimento-ao-cliente/	12.411843
1013	qualidades de um profissional	92	260	0.03	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	9.864187
1014	sistema de chamados online	18	70	0.95	https://www.octadesk.com/	9.428656
1042	www endi com ultima hora	79	70	0.0	https://blog.octadesk.com/vendas-dia-dos-namorados-ig/	5.375782
1043	relacionamento com o cliente	48	880	0.37	https://blog.octadesk.com/erros-comuns-relacionamento-com-o-cliente/	10.638834
