day first conv date;Week first conv date;month first conv date;year first conv date;first conversion date;email domain analysis;Eventos (Últimos 100)
1;1;1;2017;01/01/2017;0;IntegracaoExact / checklist-de-atendimento-ao-cliente / Criação de Conta - Dados de Acesso
2;1;1;2017;02/01/2017;0;Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
2;1;1;2017;02/01/2017;0;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
2;1;1;2017;02/01/2017;0;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados Pessoais
2;1;1;2017;02/01/2017;1;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
3;1;1;2017;03/01/2017;0;Criação de Conta - Dados de Acesso
3;1;1;2017;03/01/2017;1;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
3;1;1;2017;03/01/2017;1;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
3;1;1;2017;03/01/2017;0;Criação de Conta - Dados de Acesso
3;1;1;2017;03/01/2017;1;IntegracaoExact / IntegracaoExact / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso / IntegracaoExact / IntegracaoExact / IntegracaoExact / form-trial-experimente-o-octadesk / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
3;1;1;2017;03/01/2017;0;Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso / Criação de Conta - Dados de Acesso
4;1;1;2017;04/01/2017;0;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
4;1;1;2017;04/01/2017;0;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
4;1;1;2017;04/01/2017;0;Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
5;1;1;2017;05/01/2017;0;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
5;1;1;2017;05/01/2017;1;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
5;1;1;2017;05/01/2017;0;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
5;1;1;2017;05/01/2017;1;IntegracaoExact / IntegracaoExact / IntegracaoExact / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
6;1;1;2017;06/01/2017;0;blog-exit-intent-lightbox-optinmonster / Criação de Conta - Dados de Acesso
6;1;1;2017;06/01/2017;1;Criação de Conta - Dados de Acesso / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
6;1;1;2017;06/01/2017;1;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
6;1;1;2017;06/01/2017;0;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
6;1;1;2017;06/01/2017;0;Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
6;1;1;2017;06/01/2017;0;Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
7;1;1;2017;07/01/2017;0;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
7;1;1;2017;07/01/2017;1;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
8;2;1;2017;08/01/2017;0;site-institucional-page-contato
9;2;1;2017;09/01/2017;0;Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
9;2;1;2017;09/01/2017;1;site-newsletter / site-newsletter
9;2;1;2017;09/01/2017;1;importacao-users-julho-tag-v2 / users-julho / site-modal-demo-home / site-modal-demo-suporte
9;2;1;2017;09/01/2017;0;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
9;2;1;2017;09/01/2017;0;site-institucional-page-contato
10;2;1;2017;10/01/2017;1;site-modal-demo-suporte
10;2;1;2017;10/01/2017;1;site-contato-footer
10;2;1;2017;10/01/2017;1;form-trial-experimente-o-octadesk / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
10;2;1;2017;10/01/2017;0;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
10;2;1;2017;10/01/2017;1;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
10;2;1;2017;10/01/2017;1;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
10;2;1;2017;10/01/2017;1;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
10;2;1;2017;10/01/2017;1;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso / site-exit-intent-consulting / site-contato-footer
11;2;1;2017;11/01/2017;0;lp-fidelizar-clientes-e-melhorar-sua-empresa / site-exit-intent-consulting
11;2;1;2017;11/01/2017;0;Criação de Conta - Dados de Acesso / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
11;2;1;2017;11/01/2017;0;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
11;2;1;2017;11/01/2017;0;IntegracaoExact / IntegracaoExact / form-trial-experimente-o-octadesk / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
11;2;1;2017;11/01/2017;1;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
11;2;1;2017;11/01/2017;0;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
12;2;1;2017;12/01/2017;0;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados Pessoais
12;2;1;2017;12/01/2017;1;Criação de Conta - Dados de Acesso
12;2;1;2017;12/01/2017;1;site-exit-intent-consulting
13;2;1;2017;13/01/2017;1;IntegracaoExact / checklist-de-atendimento-ao-cliente / blog-exit-intent-lightbox-optinmonster
13;2;1;2017;13/01/2017;0;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
13;2;1;2017;13/01/2017;0;como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
13;2;1;2017;13/01/2017;0;IntegracaoExact / IntegracaoExact / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
14;2;1;2017;14/01/2017;0;IntegracaoExact / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2 / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
14;2;1;2017;14/01/2017;1;IntegracaoExact / IntegracaoExact / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
14;2;1;2017;14/01/2017;0;IntegracaoExact / IntegracaoExact / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
14;2;1;2017;14/01/2017;0;importacao-users-julho-tag-v2 / users-julho / checklist-de-atendimento-ao-cliente / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
14;2;1;2017;14/01/2017;0;IntegracaoExact / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
16;3;1;2017;16/01/2017;0;IntegracaoExact / IntegracaoExact / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
16;3;1;2017;16/01/2017;0;IntegracaoExact / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
16;3;1;2017;16/01/2017;0;IntegracaoExact / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
16;3;1;2017;16/01/2017;0;Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso / Criação de Conta - Dados de Acesso / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
16;3;1;2017;16/01/2017;1;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso / site-modal-demo-suporte
16;3;1;2017;16/01/2017;0;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
16;3;1;2017;16/01/2017;0;Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
16;3;1;2017;16/01/2017;0;Criação de Conta - Dados de Acesso / Criação de Conta - Dados de Acesso
17;3;1;2017;17/01/2017;1;IntegracaoExact / IntegracaoExact / IntegracaoExact / IntegracaoExact / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
17;3;1;2017;17/01/2017;1;IntegracaoExact / IntegracaoExact / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
17;3;1;2017;17/01/2017;1;IntegracaoExact / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
17;3;1;2017;17/01/2017;1;IntegracaoExact / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
17;3;1;2017;17/01/2017;1;importacao-users-julho-tag-v2 / users-julho / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
17;3;1;2017;17/01/2017;0;lp-cxtrends-2017 / tecnologia-no-atendimento-info / IntegracaoExact / IntegracaoExact / lp-gestao-de-pessoas-atendimento-cliente / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
17;3;1;2017;17/01/2017;0;Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
17;3;1;2017;17/01/2017;0;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
