month+year first conv date;day first conv date;Week first conv date;month first conv date;year first conv date;first conversion date;origem;email domain analysis;Conversões;Eventos (Últimos 100)
01/01/2017;1;1;1;2017;01/01/2017;Desconhecido;0;3;IntegracaoExact / checklist-de-atendimento-ao-cliente / Criação de Conta - Dados de Acesso
01/01/2017;2;1;1;2017;02/01/2017;Desconhecido;0;4;Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;2;1;1;2017;02/01/2017;Desconhecido;0;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;2;1;1;2017;02/01/2017;Desconhecido;0;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados Pessoais
01/01/2017;2;1;1;2017;02/01/2017;Desconhecido;1;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;3;1;1;2017;03/01/2017;Desconhecido;0;1;Criação de Conta - Dados de Acesso
01/01/2017;3;1;1;2017;03/01/2017;Desconhecido;1;5;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;3;1;1;2017;03/01/2017;Desconhecido;1;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;3;1;1;2017;03/01/2017;Desconhecido;0;1;Criação de Conta - Dados de Acesso
01/01/2017;3;1;1;2017;03/01/2017;Desconhecido;1;14;IntegracaoExact / IntegracaoExact / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso / IntegracaoExact / IntegracaoExact / IntegracaoExact / form-trial-experimente-o-octadesk / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;3;1;1;2017;03/01/2017;Desconhecido;0;3;Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso / Criação de Conta - Dados de Acesso
01/01/2017;4;1;1;2017;04/01/2017;Desconhecido;0;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;4;1;1;2017;04/01/2017;Desconhecido;0;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;4;1;1;2017;04/01/2017;Desconhecido;0;2;Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;5;1;1;2017;05/01/2017;Desconhecido;0;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;5;1;1;2017;05/01/2017;Desconhecido;1;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;5;1;1;2017;05/01/2017;Desconhecido;0;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;5;1;1;2017;05/01/2017;Desconhecido;1;7;IntegracaoExact / IntegracaoExact / IntegracaoExact / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;6;1;1;2017;06/01/2017;Desconhecido;0;2;blog-exit-intent-lightbox-optinmonster / Criação de Conta - Dados de Acesso
01/01/2017;6;1;1;2017;06/01/2017;Desconhecido;1;5;Criação de Conta - Dados de Acesso / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
